'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for February 2019,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 March 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/02/2019,2.0,1.0,12.0,22.2,18.0,98,73,7.98,4.32
SYDNEY AIRPORT AMO,02/02/2019,2.6,15.4,0.4,27.2,18.0,98,73,3.85,9.68
SYDNEY AIRPORT AMO,03/02/2019,7.1,0.8,3.6,31.2,21.0,92,47,6.19,29.22
SYDNEY AIRPORT AMO,04/02/2019,6.4,0.0,9.8,31.7,21.9,88,44,3.89,25.88
SYDNEY AIRPORT AMO,05/02/2019,4.9,0.0,8.0,28.0,22.3,91,65,7.21,20.33
SYDNEY AIRPORT AMO,06/02/2019,6.5,0.6,5.6,30.6,22.3,92,49,5.10,27.11
SYDNEY AIRPORT AMO,07/02/2019,7.9,0.0,8.8,31.3,23.6,80,44,7.04,28.57
SYDNEY AIRPORT AMO,08/02/2019,6.0,0.0,9.6,33.0,22.7,94,47,5.18,20.02
SYDNEY AIRPORT AMO,09/02/2019,9.0,16.8,9.2,33.7,20.1,84,19,6.99,23.33
SYDNEY AIRPORT AMO,10/02/2019,6.0,0.2,11.2,24.4,17.1,79,41,4.95,28.13
SYDNEY AIRPORT AMO,11/02/2019,6.6,0.0,8.0,29.9,17.2,82,49,5.67,27.99
SYDNEY AIRPORT AMO,12/02/2019,11.0,0.0,10.6,37.7,20.5,85,10,6.88,27.79
SYDNEY AIRPORT AMO,13/02/2019,6.3,0.0,16.0,25.3,18.6,86,46,9.30,25.67
SYDNEY AIRPORT AMO,14/02/2019,5.9,0.0,8.6,26.5,17.5,74,42,5.55,22.08
SYDNEY AIRPORT AMO,15/02/2019,5.9,0.0,8.8,27.5,19.2,72,40,3.65,24.66
SYDNEY AIRPORT AMO,16/02/2019,6.9,0.0,8.0,29.3,19.9,70,36,5.06,25.47
SYDNEY AIRPORT AMO,17/02/2019,7.4,0.0,8.0,31.0,20.1,81,37,5.74,26.98
SYDNEY AIRPORT AMO,18/02/2019,7.6,0.0,10.6,32.3,21.0,84,39,6.32,26.64
SYDNEY AIRPORT AMO,19/02/2019,5.0,0.0,10.2,27.3,22.0,95,64,8.24,23.04
SYDNEY AIRPORT AMO,20/02/2019,1.8,6.2, ,23.0,18.4,96,82,7.11,5.46
SYDNEY AIRPORT AMO,21/02/2019,2.3,1.8,2.8,22.7,19.2,95,73,7.56,6.18
SYDNEY AIRPORT AMO,22/02/2019,2.8,8.2,1.8,21.8,18.4,94,75,8.76,12.71
SYDNEY AIRPORT AMO,23/02/2019,2.7,5.2,4.0,22.3,18.1,94,68,9.12,6.34
SYDNEY AIRPORT AMO,24/02/2019,5.9,15.0,4.8,25.6,17.2,70,44,7.96,16.28
SYDNEY AIRPORT AMO,25/02/2019,5.0,1.6,8.0,25.7,18.4,87,44,4.68,20.68
SYDNEY AIRPORT AMO,26/02/2019,6.0,0.2,5.8,28.6,17.5,78,40,4.76,22.99
SYDNEY AIRPORT AMO,27/02/2019,4.1,0.0,7.6,25.2,19.2,91,67,5.29,20.25
SYDNEY AIRPORT AMO,28/02/2019,5.7,0.0,5.0,29.7,20.6,87,45,4.79,21.77
Totals:,,157.3,73,206.8,,,,,, 
