'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for May 2019,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 June 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/05/2019,2.9,0.0,5.4,25.6,18.0,80,55,3.88,8.18
SYDNEY AIRPORT AMO,02/05/2019,2.8,0.0,3.4,25.7,19.2,86,62,4.57,9.33
SYDNEY AIRPORT AMO,03/05/2019,2.8,0.0,3.4,26.0,19.3,91,53,4.93,4.73
SYDNEY AIRPORT AMO,04/05/2019,3.4,5.6,2.4,21.3,16.9,92,41,5.77,12.27
SYDNEY AIRPORT AMO,05/05/2019,3.0,0.2,4.8,18.9,11.7,87,57,8.66,10.92
SYDNEY AIRPORT AMO,06/05/2019,3.4,1.2,3.6,19.3,12.4,73,47,5.81,13.66
SYDNEY AIRPORT AMO,07/05/2019,3.5,0.0,4.0,23.9,9.7,85,30,3.78,13.55
SYDNEY AIRPORT AMO,08/05/2019,4.6,0.0,4.0,21.9,11.2,73,28,6.73,12.59
SYDNEY AIRPORT AMO,09/05/2019,3.7,0.0,5.0,21.7,9.6,70,31,4.65,13.20
SYDNEY AIRPORT AMO,10/05/2019,3.4,0.0,5.6,20.9,11.5,69,38,4.94,5.08
SYDNEY AIRPORT AMO,11/05/2019,4.5,0.0,3.4,20.9,10.1,67,38,8.26,11.83
SYDNEY AIRPORT AMO,12/05/2019,3.2,0.0,5.8,21.0,10.6,77,43,4.78,12.98
SYDNEY AIRPORT AMO,13/05/2019,3.0,0.0,1.8,24.0,10.3,84,49,4.33,12.48
SYDNEY AIRPORT AMO,14/05/2019,2.8,0.0,4.0,22.0,13.2,89,45,3.89,12.64
SYDNEY AIRPORT AMO,15/05/2019,2.2,0.0,4.0,22.0,11.4,89,58,3.12,11.64
SYDNEY AIRPORT AMO,16/05/2019,2.8,0.0,2.4,23.5,12.7,90,41,3.41,12.15
SYDNEY AIRPORT AMO,17/05/2019,2.8,0.0,3.4,24.6,12.1,86,45,3.39,12.37
SYDNEY AIRPORT AMO,18/05/2019,1.9,0.0,2.4,21.1,12.3,90,70,3.24,12.30
SYDNEY AIRPORT AMO,19/05/2019,2.5,0.0,3.0,23.3,14.0,92,48,3.25,11.66
SYDNEY AIRPORT AMO,20/05/2019,2.4,0.0,3.0,23.8,13.5,89,48,2.99,10.63
SYDNEY AIRPORT AMO,21/05/2019,3.5,0.0,2.0,27.6,13.3,85,32,3.44,12.09
SYDNEY AIRPORT AMO,22/05/2019,2.4,0.0,4.0,22.1,14.7,91,54,3.94,11.97
SYDNEY AIRPORT AMO,23/05/2019,1.9,0.0,3.6,22.5,14.5,90,65,2.94,11.11
SYDNEY AIRPORT AMO,24/05/2019,3.2,0.0,1.2,25.9,13.8,92,26,3.30,11.43
SYDNEY AIRPORT AMO,25/05/2019,4.1,0.0,4.0,27.6,12.8,72,21,3.80,11.81
SYDNEY AIRPORT AMO,26/05/2019,4.0,0.0,5.2,23.8,13.8,61,28,4.58,9.90
SYDNEY AIRPORT AMO,27/05/2019,5.1,0.0,4.8,20.7,10.6,65,29,9.41,7.81
SYDNEY AIRPORT AMO,28/05/2019,4.8,0.0,5.8,20.2,9.4,54,25,7.30,11.61
SYDNEY AIRPORT AMO,29/05/2019,5.4,0.0,7.2,20.4,12.0,53,27,9.33,11.54
SYDNEY AIRPORT AMO,30/05/2019,4.1,0.0,5.6,17.0,8.3,57,29,7.54,11.48
SYDNEY AIRPORT AMO,31/05/2019,3.6,0.0,5.6,20.3,7.3,67,36,5.93,11.41
Totals:,,103.7,7,123.8,,,,,, 
