'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for June 2019,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 July 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/06/2019,2.6,0.0,3.4,18.3,9.5,77,58,6.50,9.46
SYDNEY AIRPORT AMO,02/06/2019,1.9,0.0,1.6,19.6,10.2,85,58,3.52,8.28
SYDNEY AIRPORT AMO,03/06/2019,2.5,0.0,1.2,18.8,12.4,87,45,4.84,7.78
SYDNEY AIRPORT AMO,04/06/2019,2.0,19.0,3.6,14.2,7.2,96,62,11.21,5.03
SYDNEY AIRPORT AMO,05/06/2019,1.5,9.0,1.0,14.4,9.3,92,73,7.09,7.06
SYDNEY AIRPORT AMO,06/06/2019,2.5,6.8,1.1,18.1,6.6,80,41,4.24,11.15
SYDNEY AIRPORT AMO,07/06/2019,1.4,0.0,3.6,17.1,10.6,93,64,3.22,4.13
SYDNEY AIRPORT AMO,08/06/2019,0.9,2.8,0.0,16.2,10.4,98,80,3.03,4.99
SYDNEY AIRPORT AMO,09/06/2019,2.1,0.0,0.4,22.0,10.3,95,43,2.89,11.07
SYDNEY AIRPORT AMO,10/06/2019,2.4,0.0,3.4,22.7,11.1,89,47,3.52,10.10
SYDNEY AIRPORT AMO,11/06/2019,2.2,0.0,2.8,21.9,11.6,90,40,2.88,11.01
SYDNEY AIRPORT AMO,12/06/2019,1.9,0.0,3.2,21.0,11.0,90,58,3.45,9.80
SYDNEY AIRPORT AMO,13/06/2019,2.8,0.0,1.8,22.0,14.1,78,43,4.23,5.01
SYDNEY AIRPORT AMO,14/06/2019,3.5,0.0,2.6,20.4,10.5,63,29,4.73,10.41
SYDNEY AIRPORT AMO,15/06/2019,2.4,0.0,3.0,18.8,8.3,93,42,4.45,10.57
SYDNEY AIRPORT AMO,16/06/2019,0.9,22.6,3.6,16.0,11.9,97,83,4.56,4.04
SYDNEY AIRPORT AMO,17/06/2019,1.2,25.8,0.8,15.7,11.6,94,81,7.13,5.49
SYDNEY AIRPORT AMO,18/06/2019,1.7,14.2,1.2,19.0,11.2,92,62,3.67,7.71
SYDNEY AIRPORT AMO,19/06/2019,2.5,1.8,2.4,15.8,8.4,78,48,5.80,10.68
SYDNEY AIRPORT AMO,20/06/2019,1.8,0.0,2.6,15.9,5.9,80,52,3.65,9.61
SYDNEY AIRPORT AMO,21/06/2019,2.5,0.0,1.8,14.9,7.3,83,45,6.43,10.91
SYDNEY AIRPORT AMO,22/06/2019,2.1,0.0,3.6,14.5,6.2,83,59,7.47,9.20
SYDNEY AIRPORT AMO,23/06/2019,1.7,1.6,3.6,15.0,6.9,95,66,8.31,9.64
SYDNEY AIRPORT AMO,24/06/2019,1.7,30.2,2.4,16.4,10.1,96,67,7.26,8.44
SYDNEY AIRPORT AMO,25/06/2019,1.8,7.2,3.2,17.9,12.2,96,64,5.57,9.69
SYDNEY AIRPORT AMO,26/06/2019,1.5,4.4,1.0,17.6,12.6,95,71,4.52,9.60
SYDNEY AIRPORT AMO,27/06/2019,1.3,1.4,2.8,18.7,10.7,97,69,2.56,10.62
SYDNEY AIRPORT AMO,28/06/2019,2.3,0.4,0.4,21.6,11.0,95,46,3.82,10.77
SYDNEY AIRPORT AMO,29/06/2019,2.6,0.0,4.0,21.4,8.6,97,46,4.89,10.90
SYDNEY AIRPORT AMO,30/06/2019,3.1,0.0,4.0,19.1,10.6,66,34,4.69,11.03
Totals:,,61.3,147.2,70.1,,,,,, 
