'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for December 2019,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 31 December 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/12/2019,5.7,0.0,6.8,24.1,17.0,79,33,5.34,20.46
SYDNEY AIRPORT AMO,02/12/2019,8.3,0.0,8.8,23.6,16.7,50,22,9.12,23.22
SYDNEY AIRPORT AMO,03/12/2019,7.8,0.0,8.0,28.0,14.3,42,19,4.55,27.14
SYDNEY AIRPORT AMO,04/12/2019,8.0,0.2,9.0,31.0,18.8,85,11,4.69,25.76
SYDNEY AIRPORT AMO,05/12/2019,8.2,0.0,7.0,33.9,16.3,89,10,4.12,25.73
SYDNEY AIRPORT AMO,06/12/2019,5.3,0.0,8.0,28.4,17.4,89,45,4.75,18.47
SYDNEY AIRPORT AMO,07/12/2019,5.9,0.0,5.0,26.5,17.6,87,45,4.67,26.59
SYDNEY AIRPORT AMO,08/12/2019,5.7,0.0,8.0,26.2,18.8,77,51,6.16,21.29
SYDNEY AIRPORT AMO,09/12/2019,6.2,0.0,7.6,27.4,20.9,84,56,7.91,25.10
SYDNEY AIRPORT AMO,10/12/2019,8.2,0.0,8.2,35.0,19.9,91,37,7.17,23.80
SYDNEY AIRPORT AMO,11/12/2019,4.5,0.0,6.6,22.5,17.9,80,65,7.35,19.29
SYDNEY AIRPORT AMO,12/12/2019,4.7,0.0,6.6,23.4,17.9,81,57,6.20,19.35
SYDNEY AIRPORT AMO,13/12/2019,4.2,0.0,7.2,23.5,18.2,73,56,4.35,14.76
SYDNEY AIRPORT AMO,14/12/2019,5.8,0.0,4.2,27.6,18.0,87,56,4.79,27.29
SYDNEY AIRPORT AMO,15/12/2019,5.8,0.0,7.6,29.1,20.0,87,48,4.87,22.43
SYDNEY AIRPORT AMO,16/12/2019,5.3,0.0,6.6,22.9,18.8,88,55,8.47,24.41
SYDNEY AIRPORT AMO,17/12/2019,6.4,0.0,7.4,24.8,16.4,77,41,4.18,31.70
SYDNEY AIRPORT AMO,18/12/2019,7.6,0.0,8.8,28.5,18.3,77,37,5.85,31.33
SYDNEY AIRPORT AMO,19/12/2019,11.0,0.0,11.2,42.4,20.1,80,10,5.32,23.08
SYDNEY AIRPORT AMO,20/12/2019,6.6,0.0,7.4,26.6,19.3,86,50,6.17,30.53
SYDNEY AIRPORT AMO,21/12/2019,8.0,0.0,8.6,32.5,21.1,88,46,8.93,27.39
SYDNEY AIRPORT AMO,22/12/2019,4.6,0.0,10.0,21.7,18.1,76,64,8.69,18.03
SYDNEY AIRPORT AMO,23/12/2019,4.6,0.0,6.4,26.5,16.4,81,48,4.42,15.61
SYDNEY AIRPORT AMO,24/12/2019,4.1,0.0,5.2,28.0,18.3,90,62,4.06,15.69
SYDNEY AIRPORT AMO,25/12/2019,6.2,0.8,4.4,27.9,19.3,92,49,6.30,25.93
SYDNEY AIRPORT AMO,26/12/2019,8.5,0.0,8.6,30.2,20.7,79,35,7.57,30.85
SYDNEY AIRPORT AMO,27/12/2019,8.5,0.0,11.4,29.9,21.2,76,36,7.49,30.66
SYDNEY AIRPORT AMO,28/12/2019,8.4,0.0,12.0,30.7,20.3,77,41,7.64,30.80
SYDNEY AIRPORT AMO,29/12/2019,5.5,0.0,11.0,29.5,20.2,83,46,3.19,21.80
SYDNEY AIRPORT AMO,30/12/2019,7.0,0.0,5.8,31.0,19.3,89,43,5.71,26.32
SYDNEY AIRPORT AMO,31/12/2019,12.7,0.0,8.2,40.3,20.3,83,12,7.84,27.73
Totals:,,209.3,1,241.6,,,,,, 
