'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for January 2020,,,,,,,,,,
Issued at 22:30 GMT on Friday 31 January 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/01/2020,5.3,0.0,14.2,26.2,18.5,89,60,6.84,23.46
SYDNEY AIRPORT AMO,02/01/2020,5.6,0.0,7.2,26.6,19.1,86,50,5.50,23.05
SYDNEY AIRPORT AMO,03/01/2020,6.4,0.0, ,30.9,20.9,85,54,5.37,25.75
SYDNEY AIRPORT AMO,04/01/2020,13.0,0.0,15.4,43.3,22.1,85,22,7.96,29.01
SYDNEY AIRPORT AMO,05/01/2020,5.8,0.0,16.0,24.4,20.8,78,55,9.29,21.16
SYDNEY AIRPORT AMO,06/01/2020,3.0,0.0,8.4,25.2,19.3,93,61,4.33,8.44
SYDNEY AIRPORT AMO,07/01/2020,4.6,1.4,4.0,29.6,20.0,94,58,4.65,17.25
SYDNEY AIRPORT AMO,08/01/2020,4.2,1.2,5.6,24.6,21.0,93,74,8.56,21.56
SYDNEY AIRPORT AMO,09/01/2020,3.8,0.0,6.8,26.0,20.5,89,71,6.38,14.91
SYDNEY AIRPORT AMO,10/01/2020,6.7,0.0,3.8,31.5,21.0,89,54,5.82,27.07
SYDNEY AIRPORT AMO,11/01/2020,3.8,0.0,11.2,22.5,18.9,91,59,10.59,9.51
SYDNEY AIRPORT AMO,12/01/2020,3.0,0.0,6.4,23.3,19.4,89,56,6.39,3.82
SYDNEY AIRPORT AMO,13/01/2020,5.3,0.8,2.4,27.1,17.3,91,42,3.55,22.90
SYDNEY AIRPORT AMO,14/01/2020,5.4,0.2,9.6,28.5,19.4,86,54,3.20,24.32
SYDNEY AIRPORT AMO,15/01/2020,5.8,0.0,7.0,28.7,19.2,88,47,3.92,24.44
SYDNEY AIRPORT AMO,16/01/2020,2.9,3.2,6.2,28.5,20.7,92,59,3.43,6.97
SYDNEY AIRPORT AMO,17/01/2020,1.7,31.6,6.8,22.6,18.1,97,84,9.69,4.70
SYDNEY AIRPORT AMO,18/01/2020,2.6,14.0,3.2,22.8,18.2,92,76,7.72,9.10
SYDNEY AIRPORT AMO,19/01/2020,3.6,3.4,3.0,24.9,18.4,94,76,2.94,18.69
SYDNEY AIRPORT AMO,20/01/2020,4.8,0.0,3.4,30.0,20.1,93,59,3.85,19.48
SYDNEY AIRPORT AMO,21/01/2020,7.0,2.4,6.6,30.4,18.9,87,34,3.57,30.81
SYDNEY AIRPORT AMO,22/01/2020,7.1,0.0,9.6,32.7,20.7,86,53,4.54,30.68
SYDNEY AIRPORT AMO,23/01/2020,12.8,0.0,10.6,43.7,22.4,75,12,6.88,24.84
SYDNEY AIRPORT AMO,24/01/2020,4.4,0.0,15.6,26.6,22.3,88,51,5.16,13.93
SYDNEY AIRPORT AMO,25/01/2020,5.1,1.0,4.6,29.4,21.7,84,60,4.69,19.54
SYDNEY AIRPORT AMO,26/01/2020,8.1,0.2,7.4,37.7,24.0,88,38,4.85,26.19
SYDNEY AIRPORT AMO,27/01/2020,5.4,0.0,9.4,28.4,22.0,87,69,7.39,24.02
SYDNEY AIRPORT AMO,28/01/2020,5.4,0.2,7.4,30.0,22.5,91,64,4.66,23.52
SYDNEY AIRPORT AMO,29/01/2020,4.8,0.0,6.0,27.1,22.5,89,64,5.87,20.21
SYDNEY AIRPORT AMO,30/01/2020,6.6,0.0,7.6,31.4,20.3,86,49,4.01,28.65
SYDNEY AIRPORT AMO,31/01/2020,7.5,0.0,7.4,33.7,23.5,86,53,6.01,29.35
Totals:,,171.5,59.6,232.8,,,,,, 
