'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for February 2020,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 March 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/02/2020,9.4,0.0,9.6,37.6,24.2,86,40,6.92,29.68
SYDNEY AIRPORT AMO,02/02/2020,4.4,0.0,10.0,26.2,23.4,97,72,7.25,21.72
SYDNEY AIRPORT AMO,03/02/2020,6.3,27.4,7.8,31.2,21.1,96,42,5.54,21.99
SYDNEY AIRPORT AMO,04/02/2020,5.8,0.8,9.4,24.3,17.8,75,50,7.78,22.43
SYDNEY AIRPORT AMO,05/02/2020,5.7,0.0,7.0,27.6,18.4,87,45,4.28,24.98
SYDNEY AIRPORT AMO,06/02/2020,3.0,2.2,8.0,26.2,19.3,92,56,4.17,7.22
SYDNEY AIRPORT AMO,07/02/2020,1.6,30.0,4.0,22.3,18.7,95,84,6.94,4.11
SYDNEY AIRPORT AMO,08/02/2020,2.7,53.4, ,25.1,18.8,95,74,8.69,7.81
SYDNEY AIRPORT AMO,09/02/2020,1.3,69.8, ,23.7,18.8,98,86,13.11,1.32
SYDNEY AIRPORT AMO,10/02/2020,4.4,162.8, ,28.6,19.2,97,65,5.38,19.62
SYDNEY AIRPORT AMO,11/02/2020,6.1,0.0,4.2,30.6,20.8,91,50,4.25,26.38
SYDNEY AIRPORT AMO,12/02/2020,3.3,0.0,7.8,26.7,21.6,96,74,3.64,14.64
SYDNEY AIRPORT AMO,13/02/2020,3.4,14.8,3.0,27.5,20.9,97,74,4.14,15.42
SYDNEY AIRPORT AMO,14/02/2020,5.4,0.0,4.0,25.5,21.1,90,62,4.87,27.78
SYDNEY AIRPORT AMO,15/02/2020,4.2,0.0,8.0,26.3,18.5,89,61,2.87,20.24
SYDNEY AIRPORT AMO,16/02/2020,4.5,1.2,4.4,25.0,20.1,91,71,5.01,24.36
SYDNEY AIRPORT AMO,17/02/2020,2.4,1.2,5.6,24.8,20.2,95,74,1.36,10.98
SYDNEY AIRPORT AMO,18/02/2020,6.2,0.4,3.0,31.8,20.8,93,47,6.06,21.17
SYDNEY AIRPORT AMO,19/02/2020,7.0,13.0,9.8,30.4,20.3,89,27,5.52,22.92
SYDNEY AIRPORT AMO,20/02/2020,5.2,0.0,9.8,24.0,18.2,83,52,4.59,25.43
SYDNEY AIRPORT AMO,21/02/2020,4.4,0.0,7.0,25.8,19.4,81,55,3.88,18.41
SYDNEY AIRPORT AMO,22/02/2020,3.1,0.4,5.8,23.9,18.0,95,57,4.84,9.22
SYDNEY AIRPORT AMO,23/02/2020,3.8,0.6,4.6,26.7,19.7,77,52,3.76,10.91
SYDNEY AIRPORT AMO,24/02/2020,5.5,0.2,4.2,29.0,19.4,85,46,3.61,23.82
SYDNEY AIRPORT AMO,25/02/2020,6.2,0.0,8.0,30.6,20.9,87,46,4.36,25.86
SYDNEY AIRPORT AMO,26/02/2020,7.7,0.0,8.8,34.3,22.5,83,33,7.06,18.21
SYDNEY AIRPORT AMO,27/02/2020,5.3,0.0,10.6,27.8,19.9,78,49,5.42,18.39
SYDNEY AIRPORT AMO,28/02/2020,5.5,0.0,6.4,24.5,17.8,89,36,4.82,25.11
SYDNEY AIRPORT AMO,29/02/2020,5.4,0.0,6.8,28.5,19.0,83,45,4.29,21.30
Totals:,,139.2,378.2,177.6,,,,,, 
