'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for April 2020,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 May 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/04/2020,2.5,0.0,4.6,25.2,19.8,88,66,5.13,5.10
SYDNEY AIRPORT AMO,02/04/2020,2.8,0.0,3.8,25.7,19.8,90,61,4.29,7.59
SYDNEY AIRPORT AMO,03/04/2020,3.0,4.2,1.8,26.1,16.8,95,58,3.84,11.58
SYDNEY AIRPORT AMO,04/04/2020,6.3,4.8,3.2,27.4,19.2,92,27,8.66,16.58
SYDNEY AIRPORT AMO,05/04/2020,5.5,0.2,9.8,25.5,12.9,68,27,5.30,18.27
SYDNEY AIRPORT AMO,06/04/2020,3.8,0.0, ,23.2,14.2,93,47,5.35,15.80
SYDNEY AIRPORT AMO,07/04/2020,3.0,4.8,11.6,20.9,15.6,91,57,5.22,12.75
SYDNEY AIRPORT AMO,08/04/2020,2.2,0.8,4.6,19.9,15.9,92,65,5.32,7.14
SYDNEY AIRPORT AMO,09/04/2020,2.3,0.0,1.2,21.0,16.6,92,77,4.02,12.68
SYDNEY AIRPORT AMO,10/04/2020,2.5,0.6,2.0,23.8,17.2,92,61,4.07,7.78
SYDNEY AIRPORT AMO,11/04/2020,6.8,11.6,3.4,27.6,13.4,87,26,9.44,15.78
SYDNEY AIRPORT AMO,12/04/2020,3.9,0.0,7.6,20.5,11.1,74,40,5.09,17.08
SYDNEY AIRPORT AMO,13/04/2020,3.2,0.0,4.8,22.8,11.2,83,44,3.05,15.03
SYDNEY AIRPORT AMO,14/04/2020,3.9,0.0, ,26.7,13.3,89,35,3.27,16.75
SYDNEY AIRPORT AMO,15/04/2020,4.0,0.0, ,28.4,15.2,91,41,3.59,16.42
SYDNEY AIRPORT AMO,16/04/2020,3.6,0.0,12.8,27.3,17.6,81,39,4.28,5.05
SYDNEY AIRPORT AMO,17/04/2020,5.9,0.0,5.2,27.7,17.0,92,14,5.95,16.26
SYDNEY AIRPORT AMO,18/04/2020,4.3,0.0,6.8,23.3,13.4,75,31,4.62,16.10
SYDNEY AIRPORT AMO,19/04/2020,2.5,0.0, ,21.0,12.1,87,66,3.48,15.03
SYDNEY AIRPORT AMO,20/04/2020,2.6,0.0,8.0,21.7,13.7,90,44,3.94,5.59
SYDNEY AIRPORT AMO,21/04/2020,4.4,0.0,1.8,26.6,13.7,76,32,4.07,15.59
SYDNEY AIRPORT AMO,22/04/2020,3.9,0.0,5.6,26.1,14.1,79,33,3.36,15.43
SYDNEY AIRPORT AMO,23/04/2020,4.2,0.0, ,26.6,13.4,83,26,3.79,15.08
SYDNEY AIRPORT AMO,24/04/2020,3.8,0.0,10.6,27.7,16.3,84,31,2.95,15.13
SYDNEY AIRPORT AMO,25/04/2020,4.1,0.0,4.0,27.2,14.5,82,42,4.39,15.02
SYDNEY AIRPORT AMO,26/04/2020,5.0,0.0,7.2,29.0,13.7,81,29,5.12,10.59
SYDNEY AIRPORT AMO,27/04/2020,2.3,0.0,3.4,22.7,16.3,90,63,4.20,8.02
SYDNEY AIRPORT AMO,28/04/2020,3.2,0.2,2.8,24.5,18.8,90,49,5.35,7.76
SYDNEY AIRPORT AMO,29/04/2020,3.9,3.0,4.4,28.0,17.4,92,46,5.41,11.86
SYDNEY AIRPORT AMO,30/04/2020,1.6,0.6,5.6,19.8,17.7,95,67,4.15,3.00
Totals:,,111,30.8,136.6,,,,,, 
