'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for June 2020,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 July 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/06/2020,4.4,0.0,2.8,23.7,12.7,87,27,6.82,10.36
SYDNEY AIRPORT AMO,02/06/2020,2.5,3.6,6.8,15.9,7.9,87,49,7.46,5.24
SYDNEY AIRPORT AMO,03/06/2020,3.2,0.0,2.0,17.4,8.6,76,44,7.87,11.16
SYDNEY AIRPORT AMO,04/06/2020,2.4,0.6,3.8,15.6,10.6,77,55,5.96,10.11
SYDNEY AIRPORT AMO,05/06/2020,2.5,0.0,2.4,20.1,7.0,85,31,3.18,11.15
SYDNEY AIRPORT AMO,06/06/2020,2.0,0.0,2.4,19.4,7.3,84,46,3.00,10.94
SYDNEY AIRPORT AMO,07/06/2020,1.4,0.0,2.6,16.0,7.9,94,67,4.32,6.96
SYDNEY AIRPORT AMO,08/06/2020,1.7,34.4,2.0,16.0,9.4,94,68,6.43,10.28
SYDNEY AIRPORT AMO,09/06/2020,1.4,1.2,3.4,17.3,10.3,96,71,3.81,10.83
SYDNEY AIRPORT AMO,10/06/2020,0.9,3.8,1.0,17.6,13.3,96,85,3.29,4.90
SYDNEY AIRPORT AMO,11/06/2020,1.9,3.2,1.4,20.1,13.2,97,62,4.43,10.86
SYDNEY AIRPORT AMO,12/06/2020,1.0,0.6,2.0,16.6,12.1,97,81,4.38,5.29
SYDNEY AIRPORT AMO,13/06/2020,1.5,2.8,2.0,20.2,11.0,97,68,3.15,10.43
SYDNEY AIRPORT AMO,14/06/2020,3.0,7.0,0.8,22.1,13.4,96,31,4.68,9.54
SYDNEY AIRPORT AMO,15/06/2020,2.9,0.2,3.0,21.6,8.9,73,42,4.40,10.93
SYDNEY AIRPORT AMO,16/06/2020,3.1,0.0,3.2,21.9,9.9,81,38,4.76,10.92
SYDNEY AIRPORT AMO,17/06/2020,1.9,0.0,3.4,18.4,11.1,93,63,5.71,6.65
SYDNEY AIRPORT AMO,18/06/2020,2.2,1.6,1.2,18.4,13.3,81,43,3.39,9.79
SYDNEY AIRPORT AMO,19/06/2020,1.7,0.2,4.0,20.1,8.7,90,59,3.15,10.91
SYDNEY AIRPORT AMO,20/06/2020,2.3,0.0,2.8,21.4,8.4,96,46,3.84,10.59
SYDNEY AIRPORT AMO,21/06/2020,1.8,5.4,1.4,19.6,10.3,92,56,3.56,8.46
SYDNEY AIRPORT AMO,22/06/2020,2.5,0.4,2.0,17.7,8.2,78,46,4.99,9.34
SYDNEY AIRPORT AMO,23/06/2020,2.9,0.0,2.0,17.0,7.6,71,40,5.72,10.94
SYDNEY AIRPORT AMO,24/06/2020,2.8,0.0,3.6,18.5,7.5,78,47,5.97,8.70
SYDNEY AIRPORT AMO,25/06/2020,3.1,0.0,2.2,19.1,10.2,75,44,6.46,10.96
SYDNEY AIRPORT AMO,26/06/2020,2.3,0.0,3.0,18.6,9.1,78,46,4.08,10.98
SYDNEY AIRPORT AMO,27/06/2020,1.8,0.0,2.6,16.2,9.4,84,62,4.77,9.48
SYDNEY AIRPORT AMO,28/06/2020,1.7,0.0,2.4,15.7,9.2,91,61,4.83,8.37
SYDNEY AIRPORT AMO,29/06/2020,0.9,5.8,2.6,14.8,10.0,95,83,3.20,7.56
SYDNEY AIRPORT AMO,30/06/2020,1.7,2.4,0.8,19.1,8.2,95,55,2.92,10.65
Totals:,,65.4,73.2,75.6,,,,,, 
