'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for July 2020,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 August 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/07/2020,2.7,0.0,1.4,22.4,8.0,92,35,3.73,11.05
SYDNEY AIRPORT AMO,02/07/2020,3.8,0.2,3.4,24.2,10.1,78,34,5.37,10.90
SYDNEY AIRPORT AMO,03/07/2020,3.1,0.0,3.6,18.6,11.3,75,35,5.24,10.90
SYDNEY AIRPORT AMO,04/07/2020,2.9,1.6,3.8,16.5,9.0,82,31,5.29,10.64
SYDNEY AIRPORT AMO,05/07/2020,2.9,0.2,3.4,18.4,7.7,71,41,5.31,11.06
SYDNEY AIRPORT AMO,06/07/2020,2.3,0.0,2.4,17.7,9.2,79,50,4.29,10.87
SYDNEY AIRPORT AMO,07/07/2020,1.8,0.0,3.0,16.4,10.7,96,53,4.16,8.95
SYDNEY AIRPORT AMO,08/07/2020,1.2,3.0,1.2,16.2,11.4,94,63,2.25,6.37
SYDNEY AIRPORT AMO,09/07/2020,1.6,0.0,0.8,18.2,8.3,92,59,3.08,10.87
SYDNEY AIRPORT AMO,10/07/2020,1.5,0.0,2.8,18.6,10.8,94,62,2.86,7.99
SYDNEY AIRPORT AMO,11/07/2020,1.0,2.6,0.0,16.7,11.9,96,79,2.75,6.53
SYDNEY AIRPORT AMO,12/07/2020,1.7,0.6,1.6,18.0,8.4,97,57,3.52,11.05
SYDNEY AIRPORT AMO,13/07/2020,1.7,4.2,2.4,16.8,8.8,93,63,4.29,10.71
SYDNEY AIRPORT AMO,14/07/2020,2.0,8.8,1.2,16.4,11.1,95,70,12.40,6.63
SYDNEY AIRPORT AMO,15/07/2020,2.3,5.8,1.6,15.1,11.2,87,63,9.98,8.50
SYDNEY AIRPORT AMO,16/07/2020,2.4,0.0,4.4,15.2,9.5,88,58,9.01,8.36
SYDNEY AIRPORT AMO,17/07/2020,1.7,0.2,3.8,15.0,11.4,93,71,8.06,7.16
SYDNEY AIRPORT AMO,18/07/2020,1.7,1.8,1.2,17.0,10.7,91,61,3.55,9.46
SYDNEY AIRPORT AMO,19/07/2020,2.6,0.2, ,20.4,7.1,94,39,3.96,11.77
SYDNEY AIRPORT AMO,20/07/2020,3.6,0.0,5.0,18.5,9.2,72,27,5.68,12.23
SYDNEY AIRPORT AMO,21/07/2020,2.3,0.0,4.0,15.6,8.6,75,53,4.84,12.26
SYDNEY AIRPORT AMO,22/07/2020,2.4,0.0,2.6,19.6,7.6,81,40,3.22,11.84
SYDNEY AIRPORT AMO,23/07/2020,1.9,0.0,2.2,18.1,7.2,87,54,2.81,12.44
SYDNEY AIRPORT AMO,24/07/2020,1.9,0.0,2.8,19.0,8.2,93,56,3.23,12.06
SYDNEY AIRPORT AMO,25/07/2020,1.3,0.0,3.0,18.1,8.8,94,71,2.46,8.22
SYDNEY AIRPORT AMO,26/07/2020,0.7,4.0,0.4,17.1,10.2,98,94,6.29,3.77
SYDNEY AIRPORT AMO,27/07/2020,1.0,63.6,25.4,16.8,14.2,98,86,9.09,4.14
SYDNEY AIRPORT AMO,28/07/2020,2.0,24.2,1.0,17.4,12.2,97,68,9.25,10.12
SYDNEY AIRPORT AMO,29/07/2020,2.4,2.0,2.6,17.6,10.8,86,58,5.30,12.83
SYDNEY AIRPORT AMO,30/07/2020,2.4,0.0,4.0,17.1,10.3,90,58,6.41,12.34
SYDNEY AIRPORT AMO,31/07/2020,2.1,0.2,2.6,16.1,9.2,80,56,3.48,12.85
Totals:,,64.9,123.2,97.6,,,,,, 
