'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for August 2020,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 September 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/08/2020,2.7,0.0,2.8,20.1,6.7,90,37,3.47,12.92
SYDNEY AIRPORT AMO,02/08/2020,2.4,0.0,2.6,18.8,7.1,91,33,2.88,13.04
SYDNEY AIRPORT AMO,03/08/2020,3.0,0.0,3.2,21.5,7.8,92,24,3.10,12.10
SYDNEY AIRPORT AMO,04/08/2020,4.5,0.0,3.4,22.7,8.5,72,24,5.55,12.40
SYDNEY AIRPORT AMO,05/08/2020,5.0,0.0,5.2,18.2,6.5,53,16,7.28,13.81
SYDNEY AIRPORT AMO,06/08/2020,3.2,0.0,4.0,15.2,6.8,67,34,5.25,13.90
SYDNEY AIRPORT AMO,07/08/2020,1.3,0.0,3.4,15.0,8.9,100,66,4.16,3.91
SYDNEY AIRPORT AMO,08/08/2020,1.5,26.8,1.6,17.4,11.2,97,74,3.78,8.16
SYDNEY AIRPORT AMO,09/08/2020,2.0,0.4,2.6,15.4,8.2,99,61,7.99,7.34
SYDNEY AIRPORT AMO,10/08/2020,2.6,28.2,1.6,16.0,9.5,92,60,11.87,8.91
SYDNEY AIRPORT AMO,11/08/2020,2.5,0.2,3.2,19.0,10.8,87,48,3.76,12.00
SYDNEY AIRPORT AMO,12/08/2020,2.2,0.0,2.8,19.3,10.5,90,50,2.91,9.62
SYDNEY AIRPORT AMO,13/08/2020,2.8,0.0,1.0,22.3,10.0,93,42,3.07,14.25
SYDNEY AIRPORT AMO,14/08/2020,1.7,0.2,2.8,19.1,10.5,94,63,2.39,8.46
SYDNEY AIRPORT AMO,15/08/2020,3.2,3.0,0.6,20.1,11.9,96,43,5.69,13.38
SYDNEY AIRPORT AMO,16/08/2020,4.6,1.0,6.0,21.0,12.8,82,34,8.36,14.19
SYDNEY AIRPORT AMO,17/08/2020,4.7,0.0,5.2,20.2,12.7,62,33,6.92,15.35
SYDNEY AIRPORT AMO,18/08/2020,4.2,0.0,5.4,22.8,11.1,66,32,4.69,13.96
SYDNEY AIRPORT AMO,19/08/2020,5.4,0.0,4.0,22.4,11.2,79,20,7.87,13.04
SYDNEY AIRPORT AMO,20/08/2020,4.7,0.0,7.0,18.7,10.8,62,31,7.69,15.78
SYDNEY AIRPORT AMO,21/08/2020,4.6,0.0,5.4,19.7,9.8,64,29,6.66,14.53
SYDNEY AIRPORT AMO,22/08/2020,4.3,0.0,6.6,16.4,9.2,68,28,7.91,13.28
SYDNEY AIRPORT AMO,23/08/2020,5.0,0.0,3.0,17.1,8.8,57,30,9.58,16.20
SYDNEY AIRPORT AMO,24/08/2020,4.0,0.0,5.4,17.8,8.0,64,30,5.53,16.36
SYDNEY AIRPORT AMO,25/08/2020,2.8,0.0,4.0,14.9,6.2,72,46,4.05,16.15
SYDNEY AIRPORT AMO,26/08/2020,3.3,0.0,3.8,19.1,6.4,80,28,3.23,16.66
SYDNEY AIRPORT AMO,27/08/2020,4.4,0.0,3.0,22.7,6.4,86,14,4.06,16.79
SYDNEY AIRPORT AMO,28/08/2020,4.0,0.2,7.4,17.5,11.9,62,30,4.88,16.90
SYDNEY AIRPORT AMO,29/08/2020,4.5,0.0,4.6,22.4,7.6,73,18,4.20,17.05
SYDNEY AIRPORT AMO,30/08/2020,4.8,0.0,5.0,26.8,8.5,86,22,3.96,17.22
SYDNEY AIRPORT AMO,31/08/2020,5.1,0.0,6.8,21.8,14.3,72,31,6.93,16.80
Totals:,,111,60,123.4,,,,,, 
