'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for September 2020,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 October 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/09/2020,3.3,0.0,5.2,17.8,11.0,73,45,4.63,14.70
SYDNEY AIRPORT AMO,02/09/2020,4.8,0.0,4.6,25.2,9.7,79,22,4.40,15.80
SYDNEY AIRPORT AMO,03/09/2020,6.6,0.0,6.4,31.5,12.9,82,19,5.23,17.32
SYDNEY AIRPORT AMO,04/09/2020,2.0,0.0,9.0,20.5,15.7,92,50,2.66,5.40
SYDNEY AIRPORT AMO,05/09/2020,3.9,8.0,0.8,21.7,11.9,95,29,3.93,17.87
SYDNEY AIRPORT AMO,06/09/2020,3.3,0.2,4.6,19.9,10.2,88,42,3.86,16.49
SYDNEY AIRPORT AMO,07/09/2020,4.4,0.0,4.8,23.0,11.7,84,37,5.30,18.59
SYDNEY AIRPORT AMO,08/09/2020,4.1,0.0,6.4,23.5,11.7,83,43,4.52,18.14
SYDNEY AIRPORT AMO,09/09/2020,2.0,0.2,5.8,16.1,14.3,93,67,7.44,4.63
SYDNEY AIRPORT AMO,10/09/2020,3.9,5.0,4.4,18.2,12.9,88,43,7.14,18.38
SYDNEY AIRPORT AMO,11/09/2020,3.7,0.2,5.8,20.8,13.3,83,45,5.03,15.29
SYDNEY AIRPORT AMO,12/09/2020,4.5,0.0,5.2,23.9,10.7,91,36,4.87,19.40
SYDNEY AIRPORT AMO,13/09/2020,4.4,0.0,7.4,26.5,11.5,88,28,3.89,13.60
SYDNEY AIRPORT AMO,14/09/2020,3.3,0.0,1.8,20.6,12.7,87,61,3.79,19.68
SYDNEY AIRPORT AMO,15/09/2020,3.8,0.0,5.0,23.1,15.0,88,52,5.61,15.32
SYDNEY AIRPORT AMO,16/09/2020,4.5,0.0,4.8,26.4,14.3,89,46,4.54,19.40
SYDNEY AIRPORT AMO,17/09/2020,8.0,0.0,7.0,33.3,14.7,84,22,6.93,19.18
SYDNEY AIRPORT AMO,18/09/2020,1.6,0.0,6.6,18.6,14.1,97,76,4.53,6.46
SYDNEY AIRPORT AMO,19/09/2020,3.0,1.4,0.2,24.3,14.7,97,64,4.77,13.34
SYDNEY AIRPORT AMO,20/09/2020,2.8,4.0,5.8,24.6,16.8,93,70,6.44,9.47
SYDNEY AIRPORT AMO,21/09/2020,5.3,8.6,2.0,29.9,14.6,91,34,4.50,17.33
SYDNEY AIRPORT AMO,22/09/2020,7.9,0.0,6.8,28.4,19.6,67,14,7.01,21.32
SYDNEY AIRPORT AMO,23/09/2020,5.9,0.0,9.4,25.4,14.3,66,18,4.62,20.57
SYDNEY AIRPORT AMO,24/09/2020,6.2,0.0,6.0,23.3,12.0,57,18,5.59,21.69
SYDNEY AIRPORT AMO,25/09/2020,7.2,0.0,7.8,25.2,12.8,77,18,9.39,16.76
SYDNEY AIRPORT AMO,26/09/2020,6.6,1.4,9.2,18.7,9.7,49,23,10.60,21.87
SYDNEY AIRPORT AMO,27/09/2020,4.8,0.0,7.2,18.1,10.0,59,36,6.35,20.30
SYDNEY AIRPORT AMO,28/09/2020,4.4,0.0,7.6,20.2,9.6,71,35,4.08,22.12
SYDNEY AIRPORT AMO,29/09/2020,4.0,0.0,7.6,19.4,12.7,70,46,4.15,19.44
SYDNEY AIRPORT AMO,30/09/2020,3.6,0.0,5.4,21.5,11.6,78,45,4.30,12.62
Totals:,,133.8,29,170.6,,,,,, 
