'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for October 2020,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 November 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/10/2020,5.5,2.4,3.8,25.7,14.3,88,18,3.91,21.75
SYDNEY AIRPORT AMO,02/10/2020,6.1,0.2,3.8,27.8,11.6,88,18,4.23,23.15
SYDNEY AIRPORT AMO,03/10/2020,7.3,0.0,7.2,29.5,13.1,82,21,6.00,23.27
SYDNEY AIRPORT AMO,04/10/2020,6.6,0.0,7.6,29.8,15.7,90,36,6.34,23.48
SYDNEY AIRPORT AMO,05/10/2020,9.3,0.0,8.8,34.8,16.3,90,18,7.31,23.62
SYDNEY AIRPORT AMO,06/10/2020,2.2,0.0,10.0,18.9,15.1,95,79,7.39,11.50
SYDNEY AIRPORT AMO,07/10/2020,1.8,0.0,2.0,22.2,15.9,95,80,3.50,7.29
SYDNEY AIRPORT AMO,08/10/2020,5.9,0.4,2.2,29.9,17.0,90,28,5.53,14.96
SYDNEY AIRPORT AMO,09/10/2020,6.9,0.0,7.0,24.9,13.9,64,24,6.80,23.19
SYDNEY AIRPORT AMO,10/10/2020,6.4,0.0,8.0,25.3,13.3,57,19,4.49,24.60
SYDNEY AIRPORT AMO,11/10/2020,6.5,0.0,8.6,28.3,14.0,90,22,5.31,21.46
SYDNEY AIRPORT AMO,12/10/2020,5.0,0.0,7.2,24.9,16.9,89,51,5.68,23.02
SYDNEY AIRPORT AMO,13/10/2020,7.5,0.0,7.6,30.3,15.5,89,20,5.80,25.10
SYDNEY AIRPORT AMO,14/10/2020,4.4,0.0,7.8,22.2,16.7,84,60,5.27,23.33
SYDNEY AIRPORT AMO,15/10/2020,5.6,0.0,5.0,26.6,15.8,86,47,5.51,24.85
SYDNEY AIRPORT AMO,16/10/2020,3.1,0.0,8.6,20.6,17.7,89,64,7.04,10.99
SYDNEY AIRPORT AMO,17/10/2020,4.1,0.2,3.4,25.8,15.6,89,59,5.03,16.95
SYDNEY AIRPORT AMO,18/10/2020,4.1,1.8,5.8,25.4,17.7,92,49,5.10,14.24
SYDNEY AIRPORT AMO,19/10/2020,3.8,4.0,4.4,20.5,14.8,93,60,6.06,20.02
SYDNEY AIRPORT AMO,20/10/2020,3.4,0.2,7.2,21.7,15.7,85,59,4.53,14.30
SYDNEY AIRPORT AMO,21/10/2020,5.4,1.8,3.0,24.1,15.3,85,51,6.55,26.29
SYDNEY AIRPORT AMO,22/10/2020,4.4,0.0,8.0,24.2,16.1,86,58,4.85,20.89
SYDNEY AIRPORT AMO,23/10/2020,6.5,0.0,2.8,28.0,17.9,86,44,7.27,25.33
SYDNEY AIRPORT AMO,24/10/2020,3.3,5.2,9.6,26.8,18.9,96,62,5.89,9.15
SYDNEY AIRPORT AMO,25/10/2020,1.8,17.8,6.4,16.6,14.3,97,79,12.09,7.63
SYDNEY AIRPORT AMO,26/10/2020,2.4,19.6,2.6,16.9,12.8,95,70,12.94,8.79
SYDNEY AIRPORT AMO,27/10/2020,3.1,4.8,3.4,18.8,13.0,92,72,8.84,17.90
SYDNEY AIRPORT AMO,28/10/2020,2.8,0.0,4.2,19.1,13.3,90,74,4.60,15.64
SYDNEY AIRPORT AMO,29/10/2020,3.6,3.2,4.8,20.3,14.7,95,66,5.00,21.30
SYDNEY AIRPORT AMO,30/10/2020,4.3,0.2,4.0,22.3,13.3,87,60,3.90,24.52
SYDNEY AIRPORT AMO,31/10/2020,3.0,3.0,7.2,21.2,16.7,92,74,6.77,14.65
Totals:,,146.1,64.8,182,,,,,, 
