'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for December 2020,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 January 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/12/2020,6.4,0.0,6.4,29.3,19.7,91,53,7.01,26.41
SYDNEY AIRPORT AMO,02/12/2020,4.3,8.8,9.4,24.1,19.0,92,59,6.95,16.81
SYDNEY AIRPORT AMO,03/12/2020,3.0,0.2,5.4,23.3,16.8,85,60,5.63,5.57
SYDNEY AIRPORT AMO,04/12/2020,7.8,0.0,4.0,30.0,18.4,91,25,4.88,31.56
SYDNEY AIRPORT AMO,05/12/2020,3.4,0.0,10.0,26.2,19.5,91,58,5.63,7.96
SYDNEY AIRPORT AMO,06/12/2020,9.7,5.2,1.8,31.8,20.5,87,15,7.02,31.70
SYDNEY AIRPORT AMO,07/12/2020,9.7,0.0,14.0,31.8,17.8,69,14,6.04,31.71
SYDNEY AIRPORT AMO,08/12/2020,7.0,0.0,13.2,21.8,15.5,61,38,7.42,31.32
SYDNEY AIRPORT AMO,09/12/2020,7.2,0.0,9.2,25.9,15.0,68,34,5.31,31.64
SYDNEY AIRPORT AMO,10/12/2020,6.8,0.0,12.0,26.5,18.0,78,46,7.74,27.29
SYDNEY AIRPORT AMO,11/12/2020,6.2,0.0,11.6,22.2,17.4,71,39,8.18,22.18
SYDNEY AIRPORT AMO,12/12/2020,6.9,0.0,8.2,25.1,16.8,77,31,6.29,26.57
SYDNEY AIRPORT AMO,13/12/2020,5.8,0.0,9.6,26.3,17.9,84,40,5.54,21.34
SYDNEY AIRPORT AMO,14/12/2020,3.4,1.0,9.2,25.0,18.2,94,60,4.96,11.20
SYDNEY AIRPORT AMO,15/12/2020,3.2,4.8,1.4,26.4,18.8,97,71,5.98,12.14
SYDNEY AIRPORT AMO,16/12/2020,4.8,6.8,3.6,28.5,20.6,96,67,8.47,20.25
SYDNEY AIRPORT AMO,17/12/2020,6.9,0.4,5.6,31.9,22.0,86,55,5.72,27.35
SYDNEY AIRPORT AMO,18/12/2020,6.2,0.2,5.4,34.0,22.9,93,35,6.13,12.08
SYDNEY AIRPORT AMO,19/12/2020,2.2,1.8,5.8,20.2,19.1,95,72,6.18,6.76
SYDNEY AIRPORT AMO,20/12/2020,3.0,1.6,1.4,24.2,17.5,96,71,4.44,12.76
SYDNEY AIRPORT AMO,21/12/2020,2.1,0.4,3.0,23.8,18.4,95,77,2.93,7.68
SYDNEY AIRPORT AMO,22/12/2020,6.3,20.4,2.0,29.2,17.8,96,27,6.13,16.62
SYDNEY AIRPORT AMO,23/12/2020,6.8,0.0,8.8,23.8,15.9,68,46,6.96,31.35
SYDNEY AIRPORT AMO,24/12/2020,6.6,0.0,7.0,28.1,18.3,84,45,5.31,28.56
SYDNEY AIRPORT AMO,25/12/2020,3.3,0.6,10.2,20.9,17.9,93,70,8.00,14.78
SYDNEY AIRPORT AMO,26/12/2020,4.7,0.8,4.2,26.0,17.3,91,52,6.03,16.96
SYDNEY AIRPORT AMO,27/12/2020,7.1,0.2,6.6,30.3,17.6,91,46,4.88,31.67
SYDNEY AIRPORT AMO,28/12/2020,4.7,0.0,7.4,25.2,22.3,92,52,6.53,16.55
SYDNEY AIRPORT AMO,29/12/2020,1.8,7.8,6.0,20.8,16.6,97,81,7.20,6.39
SYDNEY AIRPORT AMO,30/12/2020,4.2,10.8,1.6,24.9,17.3,95,58,6.92,15.94
SYDNEY AIRPORT AMO,31/12/2020,3.5,0.2,7.4,24.0,19.1,92,63,5.84,12.10
Totals:,,165,72,211.4,,,,,, 
