'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for January 2021,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 February 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/01/2021,3.1,5.8,2.4,22.6,18.2,93,58,6.46,7.70
SYDNEY AIRPORT AMO,02/01/2021,2.4,1.0,4.2,21.3,16.8,95,74,4.43,10.04
SYDNEY AIRPORT AMO,03/01/2021,3.7,5.6,2.2,26.0,17.4,95,69,5.17,16.47
SYDNEY AIRPORT AMO,04/01/2021,4.0,0.8,3.2,29.3,20.0,93,55,4.34,12.21
SYDNEY AIRPORT AMO,05/01/2021,5.9,6.6,2.8,28.3,19.5,93,51,4.19,27.09
SYDNEY AIRPORT AMO,06/01/2021,4.3,0.6,6.4,24.0,20.1,91,69,8.39,19.99
SYDNEY AIRPORT AMO,07/01/2021,4.6,0.2,9.2,23.2,19.5,95,55,7.93,19.53
SYDNEY AIRPORT AMO,08/01/2021,4.7,5.6,7.2,23.7,16.7,83,54,7.38,16.40
SYDNEY AIRPORT AMO,09/01/2021,6.4,0.4,6.0,25.3,17.9,76,47,5.04,30.49
SYDNEY AIRPORT AMO,10/01/2021,6.9,0.0,5.6,28.5,17.4,85,44,4.64,31.45
SYDNEY AIRPORT AMO,11/01/2021,7.4,0.0,11.8,28.7,19.6,82,41,5.84,31.48
SYDNEY AIRPORT AMO,12/01/2021,7.4,0.0,9.0,30.0,20.6,79,42,5.86,28.54
SYDNEY AIRPORT AMO,13/01/2021,7.7,0.0,10.0,30.3,21.0,88,41,6.44,30.79
SYDNEY AIRPORT AMO,14/01/2021,7.6,0.0,10.8,32.8,21.7,94,48,7.66,28.11
SYDNEY AIRPORT AMO,15/01/2021,7.9,1.0,10.4,28.9,19.9,87,26,6.56,28.15
SYDNEY AIRPORT AMO,16/01/2021,8.3,0.0,10.6,25.7,17.6,53,24,6.36,31.17
SYDNEY AIRPORT AMO,17/01/2021,6.9,0.0,9.0,25.6,16.2,67,37,5.12,30.12
SYDNEY AIRPORT AMO,18/01/2021,7.4,0.0,9.6,30.4,18.7,89,37,5.02,30.93
SYDNEY AIRPORT AMO,19/01/2021,4.5,0.0,8.6,23.9,20.9,91,58,8.09,16.86
SYDNEY AIRPORT AMO,20/01/2021,4.0,0.0,8.2,22.9,17.4,85,47,4.53,13.69
SYDNEY AIRPORT AMO,21/01/2021,7.0,0.2,4.8,27.5,15.8,75,40,5.65,30.11
SYDNEY AIRPORT AMO,22/01/2021,8.7,0.0,9.6,33.8,19.9,79,30,5.35,30.46
SYDNEY AIRPORT AMO,23/01/2021,7.0,0.0,10.8,30.6,22.2,88,48,5.27,29.02
SYDNEY AIRPORT AMO,24/01/2021,8.9,0.0,8.6,35.0,21.8,93,28,5.84,30.28
SYDNEY AIRPORT AMO,25/01/2021,8.2,0.0,13.0,32.4,23.0,79,43,6.83,28.91
SYDNEY AIRPORT AMO,26/01/2021,11.3,0.0,12.0,41.6,22.7,90,16,6.59,25.57
SYDNEY AIRPORT AMO,27/01/2021,2.0,0.0,12.0,22.9,20.3,96,84,10.37,7.38
SYDNEY AIRPORT AMO,28/01/2021,3.4,9.0,4.4,23.8,18.7,95,58,8.43,7.91
SYDNEY AIRPORT AMO,29/01/2021,2.3,6.2,3.2,24.1,18.2,96,79,7.14,7.98
SYDNEY AIRPORT AMO,30/01/2021,4.4,19.6,1.8,30.2,19.7,95,59,5.52,14.32
SYDNEY AIRPORT AMO,31/01/2021,2.2,0.2,7.4,23.8,21.2,92,78,7.24,4.96
Totals:,,180.5,62.8,234.8,,,,,, 
