'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for February 2021,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 March 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/02/2021,5.2,0.0,0.4,27.7,20.6,95,58,6.37,22.14
SYDNEY AIRPORT AMO,02/02/2021,4.8,17.6,7.6,24.4,17.9,95,54,7.59,20.66
SYDNEY AIRPORT AMO,03/02/2021,5.7,0.8,7.8,25.0,17.9,88,48,6.09,26.23
SYDNEY AIRPORT AMO,04/02/2021,6.9,0.2,6.8,29.1,18.7,81,48,6.90,27.43
SYDNEY AIRPORT AMO,05/02/2021,6.8,0.0,8.4,29.2,21.8,84,57,8.91,27.89
SYDNEY AIRPORT AMO,06/02/2021,3.0,0.0,9.0,26.2,22.4,84,69,6.14,6.18
SYDNEY AIRPORT AMO,07/02/2021,5.5,0.2,3.4,27.0,19.0,94,55,5.59,25.68
SYDNEY AIRPORT AMO,08/02/2021,4.1,0.2,8.6,23.1,19.7,80,66,6.81,15.81
SYDNEY AIRPORT AMO,09/02/2021,5.2,0.0,5.4,23.8,19.4,82,49,5.88,21.25
SYDNEY AIRPORT AMO,10/02/2021,5.2,0.6,6.4,24.9,17.4,89,49,4.59,24.94
SYDNEY AIRPORT AMO,11/02/2021,7.2,0.0,9.2,28.4,20.0,69,41,6.05,27.75
SYDNEY AIRPORT AMO,12/02/2021,7.2,0.0,11.0,35.2,20.2,96,29,5.81,17.30
SYDNEY AIRPORT AMO,13/02/2021,1.8,6.2,7.4,21.2,19.7,98,74,6.79,4.07
SYDNEY AIRPORT AMO,14/02/2021,4.5,12.2,2.0,23.3,17.2,89,66,7.80,23.81
SYDNEY AIRPORT AMO,15/02/2021,4.1,0.2,8.0,23.7,19.8,96,63,11.84,16.54
SYDNEY AIRPORT AMO,16/02/2021,4.6,3.8,5.2,27.0,19.1,96,58,6.16,19.41
SYDNEY AIRPORT AMO,17/02/2021,5.0,17.6,7.8,25.9,19.1,88,50,6.35,18.76
SYDNEY AIRPORT AMO,18/02/2021,4.7,1.2,6.4,25.7,19.1,88,43,5.61,14.58
SYDNEY AIRPORT AMO,19/02/2021,4.9,6.6,6.4,28.0,20.2,92,61,5.63,21.53
SYDNEY AIRPORT AMO,20/02/2021,5.0,0.2,6.2,29.3,20.6,93,57,3.27,22.92
SYDNEY AIRPORT AMO,21/02/2021,5.1,0.0,5.4,28.0,21.1,93,63,3.67,25.34
SYDNEY AIRPORT AMO,22/02/2021,4.9,0.0,5.6,26.4,20.3,91,69,7.29,24.80
SYDNEY AIRPORT AMO,23/02/2021,3.0,0.0,8.4,21.2,19.8,92,62,9.44,5.83
SYDNEY AIRPORT AMO,24/02/2021,2.2,40.2,5.6,21.3,16.6,96,82,5.96,10.82
SYDNEY AIRPORT AMO,25/02/2021,2.2,3.8,2.0,23.5,18.0,94,70,2.99,8.24
SYDNEY AIRPORT AMO,26/02/2021,5.1,4.4,1.2,26.3,18.3,92,54,5.11,24.25
SYDNEY AIRPORT AMO,27/02/2021,1.9,0.2,7.6,24.6,19.5,91,71,3.54,4.21
SYDNEY AIRPORT AMO,28/02/2021,4.9,0.2,2.8,26.5,19.0,94,60,4.69,24.53
Totals:,,130.7,116.4,172,,,,,, 
