'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for March 2021,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 April 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/03/2021,5.9,0.0,6.4,30.6,20.3,88,53,5.38,23.83
SYDNEY AIRPORT AMO,02/03/2021,4.5,0.0,8.2,22.2,20.3,88,58,7.33,20.70
SYDNEY AIRPORT AMO,03/03/2021,4.7,5.2,7.6,21.6,18.2,76,58,7.60,19.53
SYDNEY AIRPORT AMO,04/03/2021,6.3,0.0,6.8,28.8,16.6,74,32,4.50,23.59
SYDNEY AIRPORT AMO,05/03/2021,4.7,0.0,8.0,22.9,18.8,82,54,7.08,19.58
SYDNEY AIRPORT AMO,06/03/2021,5.0,0.0,8.4,22.5,18.2,78,52,6.95,21.38
SYDNEY AIRPORT AMO,07/03/2021,5.4,0.0,7.0,26.5,16.8,74,47,5.35,20.51
SYDNEY AIRPORT AMO,08/03/2021,5.4,0.0,7.6,33.1,19.0,82,38,4.29,13.59
SYDNEY AIRPORT AMO,09/03/2021,5.1,0.0,6.2,26.4,19.9,83,47,5.45,19.66
SYDNEY AIRPORT AMO,10/03/2021,4.2,0.0,6.6,25.8,20.2,80,56,5.34,13.89
SYDNEY AIRPORT AMO,11/03/2021,4.4,0.0,4.2,27.6,20.3,89,55,6.02,14.63
SYDNEY AIRPORT AMO,12/03/2021,3.5,4.6,7.8,27.4,21.3,93,61,6.15,9.93
SYDNEY AIRPORT AMO,13/03/2021,5.0,9.2,0.6,31.0,20.3,96,56,5.52,19.05
SYDNEY AIRPORT AMO,14/03/2021,1.8,15.8,10.0,20.0,18.8,96,73,9.86,1.46
SYDNEY AIRPORT AMO,15/03/2021,4.4,12.8,4.0,21.4,12.7,77,57,6.44,22.18
SYDNEY AIRPORT AMO,16/03/2021,2.6,0.4,6.6,21.8,15.8,94,65,5.55,8.76
SYDNEY AIRPORT AMO,17/03/2021,4.3,4.8,2.4,24.6,16.5,88,50,7.88,11.15
SYDNEY AIRPORT AMO,18/03/2021,2.0,9.0,6.2,22.5,17.8,97,67,6.95,1.29
SYDNEY AIRPORT AMO,19/03/2021,3.7,39.2,3.4,25.7,17.1,86,62,7.95,8.76
SYDNEY AIRPORT AMO,20/03/2021,2.0,38.4,2.8,22.9,18.4,97,74,9.84,1.65
SYDNEY AIRPORT AMO,21/03/2021,2.2,109.2, ,21.2,18.7,92,71,8.79,3.41
SYDNEY AIRPORT AMO,22/03/2021,1.4,29.0,4.6,21.2,18.1,95,83,5.22,3.58
SYDNEY AIRPORT AMO,23/03/2021,1.1,34.6,0.4,22.3,17.8,96,90,7.22,2.59
SYDNEY AIRPORT AMO,24/03/2021,5.3,26.6,1.8,30.1,16.8,98,31,4.22,18.68
SYDNEY AIRPORT AMO,25/03/2021,5.3,0.2,6.6,28.9,18.5,67,39,4.40,17.15
SYDNEY AIRPORT AMO,26/03/2021,3.9,0.0,6.6,23.4,15.5,79,56,4.27,18.62
SYDNEY AIRPORT AMO,27/03/2021,4.9,0.0,4.6,27.8,17.2,87,31,3.97,18.19
SYDNEY AIRPORT AMO,28/03/2021,4.3,0.0,6.8,24.4,17.6,82,45,4.16,18.98
SYDNEY AIRPORT AMO,29/03/2021,3.8,0.0,6.0,24.5,15.9,89,54,4.22,17.95
SYDNEY AIRPORT AMO,30/03/2021,3.6,4.6,7.2,20.9,17.1,93,56,7.65,16.58
SYDNEY AIRPORT AMO,31/03/2021,3.8,6.8,6.2,21.8,14.4,95,50,5.79,18.58
Totals:,,124.5,350.4,171.6,,,,,, 
