'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for April 2021,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 May 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/04/2021,3.3,13.2,4.8,24.2,15.3,93,60,3.45,17.40
SYDNEY AIRPORT AMO,02/04/2021,3.8,0.2,2.8,26.3,16.9,88,52,3.05,18.42
SYDNEY AIRPORT AMO,03/04/2021,4.2,0.0,4.0,26.7,16.5,90,50,4.35,18.50
SYDNEY AIRPORT AMO,04/04/2021,4.4,0.0,7.2,30.0,16.7,89,44,3.72,16.93
SYDNEY AIRPORT AMO,05/04/2021,3.2,0.0,5.6,25.7,17.8,95,67,3.94,16.85
SYDNEY AIRPORT AMO,06/04/2021,3.3,0.4,3.3,25.9,19.5,93,65,3.90,15.88
SYDNEY AIRPORT AMO,07/04/2021,3.0,0.2,4.4,26.2,19.9,90,65,4.11,11.26
SYDNEY AIRPORT AMO,08/04/2021,3.2,2.2,3.2,25.5,18.4,96,60,3.16,16.35
SYDNEY AIRPORT AMO,09/04/2021,5.1,0.2,4.8,30.2,17.6,89,33,5.28,12.75
SYDNEY AIRPORT AMO,10/04/2021,5.1,0.0,6.4,24.5,16.8,85,28,6.19,15.96
SYDNEY AIRPORT AMO,11/04/2021,5.5,0.0,5.8,19.3,13.4,60,27,8.30,17.29
SYDNEY AIRPORT AMO,12/04/2021,4.1,0.0,6.8,18.7,10.3,64,39,5.75,17.10
SYDNEY AIRPORT AMO,13/04/2021,4.2,0.0,4.0,23.4,10.5,77,33,4.36,16.94
SYDNEY AIRPORT AMO,14/04/2021,4.9,0.0,5.4,28.7,12.3,79,18,3.68,14.41
SYDNEY AIRPORT AMO,15/04/2021,4.9,0.0,6.4,26.6,15.8,69,26,4.11,16.48
SYDNEY AIRPORT AMO,16/04/2021,4.2,0.0,6.4,20.6,15.9,68,39,6.16,11.22
SYDNEY AIRPORT AMO,17/04/2021,2.0,0.0,4.0,19.7,14.7,79,50,2.43,4.52
SYDNEY AIRPORT AMO,18/04/2021,2.7,0.0,4.0,21.0,10.8,89,56,3.20,14.82
SYDNEY AIRPORT AMO,19/04/2021,4.1,0.0,1.6,25.6,12.2,88,24,3.49,15.96
SYDNEY AIRPORT AMO,20/04/2021,3.7,0.0,4.0,24.0,12.3,87,30,3.54,13.98
SYDNEY AIRPORT AMO,21/04/2021,4.0,0.0,5.2,18.9,14.5,72,45,6.81,15.62
SYDNEY AIRPORT AMO,22/04/2021,4.3,0.2,6.0,20.7,10.6,79,24,5.54,15.28
SYDNEY AIRPORT AMO,23/04/2021,4.0,0.0,5.4,22.8,10.0,66,31,4.04,15.31
SYDNEY AIRPORT AMO,24/04/2021,3.8,0.0,4.0,24.0,10.0,80,29,3.63,14.92
SYDNEY AIRPORT AMO,25/04/2021,3.0,0.0,3.2,21.1,11.1,82,49,3.83,14.14
SYDNEY AIRPORT AMO,26/04/2021,3.1,0.0,3.4,23.2,12.1,88,41,3.12,14.56
SYDNEY AIRPORT AMO,27/04/2021,2.7,0.0,3.0,22.7,13.7,91,52,3.14,14.15
SYDNEY AIRPORT AMO,28/04/2021,2.7,0.0,4.0,22.3,14.8,85,52,3.09,12.86
SYDNEY AIRPORT AMO,29/04/2021,3.0,0.0,2.6,23.7,13.1,88,47,3.46,14.44
SYDNEY AIRPORT AMO,30/04/2021,2.4,0.0,3.6,22.8,12.9,89,60,3.15,12.78
Totals:,,111.9,16.6,135.3,,,,,, 
