'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for May 2021,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 June 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/05/2021,2.4,0.0,3.2,23.9,14.2,93,61,3.51,10.46
SYDNEY AIRPORT AMO,02/05/2021,2.8,0.0,0.4,24.5,14.7,94,48,3.28,12.88
SYDNEY AIRPORT AMO,03/05/2021,3.1,0.0,4.0,25.5,13.6,95,43,3.40,13.63
SYDNEY AIRPORT AMO,04/05/2021,1.5,0.0,4.0,18.5,15.7,95,66,3.56,3.16
SYDNEY AIRPORT AMO,05/05/2021,1.3,36.0,73.0,19.4,14.1,97,85,5.16,6.43
SYDNEY AIRPORT AMO,06/05/2021,1.7,19.0,3.6,21.5,16.0,97,82,8.72,7.47
SYDNEY AIRPORT AMO,07/05/2021,1.9,20.0,1.8,21.5,17.8,97,79,5.94,10.97
SYDNEY AIRPORT AMO,08/05/2021,3.3,0.6,3.8,26.5,15.2,94,36,3.64,11.51
SYDNEY AIRPORT AMO,09/05/2021,2.1,0.0,4.4,21.0,16.4,79,56,2.94,6.42
SYDNEY AIRPORT AMO,10/05/2021,3.3,0.0,2.2,25.4,14.2,87,36,3.65,12.61
SYDNEY AIRPORT AMO,11/05/2021,2.9,0.0,3.2,23.7,14.9,85,45,3.76,10.42
SYDNEY AIRPORT AMO,12/05/2021,2.1,0.0,3.0,19.8,13.6,94,72,5.86,12.70
SYDNEY AIRPORT AMO,13/05/2021,3.0,6.4,3.4,24.4,13.8,96,40,3.69,12.78
SYDNEY AIRPORT AMO,14/05/2021,4.6,0.2,4.0,20.5,13.3,63,28,6.96,12.72
SYDNEY AIRPORT AMO,15/05/2021,4.1,0.0,5.2,17.8,10.5,63,30,6.97,9.83
SYDNEY AIRPORT AMO,16/05/2021,4.5,0.0,5.2,19.7,7.7,61,19,6.16,12.52
SYDNEY AIRPORT AMO,17/05/2021,3.2,0.0,2.8,18.3,9.4,63,45,5.46,12.07
SYDNEY AIRPORT AMO,18/05/2021,2.7,0.0,4.0,20.7,8.7,75,33,3.12,12.33
SYDNEY AIRPORT AMO,19/05/2021,2.9,0.0,3.4,21.6,8.3,87,30,3.44,12.24
SYDNEY AIRPORT AMO,20/05/2021,3.1,0.0,2.8,21.7,9.2,86,27,3.70,10.59
SYDNEY AIRPORT AMO,21/05/2021,1.8,0.6,2.8,17.1,9.6,92,61,4.99,5.75
SYDNEY AIRPORT AMO,22/05/2021,2.0,2.2,0.4,18.9,8.5,87,56,3.25,11.90
SYDNEY AIRPORT AMO,23/05/2021,2.0,0.0,3.0,19.4,10.7,90,62,4.19,10.15
SYDNEY AIRPORT AMO,24/05/2021,1.4,1.8,1.2,19.6,12.8,97,70,2.68,7.44
SYDNEY AIRPORT AMO,25/05/2021,2.9,0.8,5.0,22.3,12.5,94,45,4.93,11.68
SYDNEY AIRPORT AMO,26/05/2021,4.4,0.0,0.4,22.4,14.6,74,28,6.48,11.60
SYDNEY AIRPORT AMO,27/05/2021,4.1,0.0,6.2,19.2,11.2,59,36,7.18,11.63
SYDNEY AIRPORT AMO,28/05/2021,3.6,0.2,4.0,16.1,10.2,70,40,9.00,11.57
SYDNEY AIRPORT AMO,29/05/2021,2.9,0.0,6.0,15.3,8.5,69,52,8.27,8.91
SYDNEY AIRPORT AMO,30/05/2021,2.1,0.0,2.8,15.3,10.3,80,64,6.26,8.84
SYDNEY AIRPORT AMO,31/05/2021,1.9,0.0,2.4,18.3,10.5,87,47,2.86,11.39
Totals:,,85.6,87.8,171.6,,,,,, 
