'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for July 2021,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 August 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/07/2021,1.1,2.8,0.8,16.9,10.2,99,74,2.70,7.84
SYDNEY AIRPORT AMO,02/07/2021,1.5,2.4,1.4,20.1,10.8,98,64,2.97,9.59
SYDNEY AIRPORT AMO,03/07/2021,2.4,0.2,1.8,20.6,8.7,88,40,3.50,10.94
SYDNEY AIRPORT AMO,04/07/2021,2.4,0.0,1.3,16.7,8.1,100,37,5.32,11.21
SYDNEY AIRPORT AMO,05/07/2021,2.8,0.0,3.6,17.0,6.3,72,38,5.05,11.26
SYDNEY AIRPORT AMO,06/07/2021,2.1,0.0,2.8,16.6,6.5,81,46,3.93,11.07
SYDNEY AIRPORT AMO,07/07/2021,1.8,0.0,2.2,16.7,5.3,85,47,2.85,11.02
SYDNEY AIRPORT AMO,08/07/2021,1.7,0.0,0.6,17.7,5.7,90,51,2.82,10.49
SYDNEY AIRPORT AMO,09/07/2021,1.2,0.0,1.8,13.5,8.2,94,72,4.46,4.81
SYDNEY AIRPORT AMO,10/07/2021,1.6,5.8,2.0,14.7,10.3,94,71,8.96,5.49
SYDNEY AIRPORT AMO,11/07/2021,1.4,14.2,28.6,16.0,9.8,95,71,4.60,9.55
SYDNEY AIRPORT AMO,12/07/2021,1.7,0.6,2.2,17.7,8.0,94,58,3.60,11.21
SYDNEY AIRPORT AMO,13/07/2021,2.6,0.0,0.8,20.0,8.2,91,34,3.86,11.44
SYDNEY AIRPORT AMO,14/07/2021,2.0,0.0,3.2,17.4,11.2,84,54,4.37,3.71
SYDNEY AIRPORT AMO,15/07/2021,2.9,1.4,1.4,22.7,11.7,90,42,4.54,10.81
SYDNEY AIRPORT AMO,16/07/2021,3.8,4.2,2.2,19.8,10.5,90,35,8.77,10.34
SYDNEY AIRPORT AMO,17/07/2021,4.5,1.0,6.6,15.8,11.8,59,33,10.37,11.88
SYDNEY AIRPORT AMO,18/07/2021,3.3,0.0,4.4,18.8,9.9,70,37,5.53,12.04
SYDNEY AIRPORT AMO,19/07/2021,2.7,0.0,4.6,16.5,7.1,74,41,4.81,10.14
SYDNEY AIRPORT AMO,20/07/2021,3.3,0.0,3.4,17.0,7.9,74,36,6.51,9.24
SYDNEY AIRPORT AMO,21/07/2021,3.1,0.0,4.0,14.0,8.9,65,50,8.96,10.71
SYDNEY AIRPORT AMO,22/07/2021,3.2,0.0,2.4,17.8,5.6,71,30,4.84,12.35
SYDNEY AIRPORT AMO,23/07/2021,2.3,0.0,3.0,17.1,9.7,76,46,3.81,7.95
SYDNEY AIRPORT AMO,24/07/2021,3.4,0.6,2.2,18.9,10.8,88,33,6.25,11.35
SYDNEY AIRPORT AMO,25/07/2021,4.5,0.2,7.4,15.7,10.1,56,27,8.75,12.54
SYDNEY AIRPORT AMO,26/07/2021,3.5,0.0,2.2,19.9,9.5,65,35,4.98,10.20
SYDNEY AIRPORT AMO,27/07/2021,3.2,0.0,4.0,21.0,9.6,87,33,4.55,12.24
SYDNEY AIRPORT AMO,28/07/2021,6.4,0.0,6.4,26.1,11.4,65,23,8.50,11.54
SYDNEY AIRPORT AMO,29/07/2021,3.8,0.0,6.8,18.5,11.1,67,23,5.35,13.02
SYDNEY AIRPORT AMO,30/07/2021,3.0,0.0,3.4,18.6,6.3,69,27,3.62,13.11
SYDNEY AIRPORT AMO,31/07/2021,3.9,0.0,3.8,22.4,7.2,71,30,5.02,11.22
Totals:,,87.1,33.4,121.3,,,,,, 
