'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for January 2022,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 February 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/01/2022,7.2,0.0,10.6,28.5,21.1,77,49,7.99,27.03
SYDNEY AIRPORT AMO,02/01/2022,7.7,0.0,7.6,29.9,21.2,81,51,7.47,31.96
SYDNEY AIRPORT AMO,03/01/2022,6.7,0.0,11.4,27.9,21.3,80,51,4.16,31.34
SYDNEY AIRPORT AMO,04/01/2022,6.2,0.0,8.0,28.1,21.0,85,56,4.99,28.07
SYDNEY AIRPORT AMO,05/01/2022,3.1,2.6,9.4,26.7,20.7,95,74,5.57,12.29
SYDNEY AIRPORT AMO,06/01/2022,5.3,13.2,2.8,28.1,21.0,92,62,8.97,20.95
SYDNEY AIRPORT AMO,07/01/2022,3.6,1.4,5.8,27.5,22.5,95,72,9.59,12.20
SYDNEY AIRPORT AMO,08/01/2022,6.7,24.4,2.2,31.3,19.6,96,46,5.13,27.16
SYDNEY AIRPORT AMO,09/01/2022,3.1,0.2,8.0,26.2,20.2,93,82,6.32,13.89
SYDNEY AIRPORT AMO,10/01/2022,5.0,0.2,4.0,28.9,21.2,95,62,5.32,21.63
SYDNEY AIRPORT AMO,11/01/2022,4.8,0.0,5.6,28.8,22.6,88,64,5.77,18.34
SYDNEY AIRPORT AMO,12/01/2022,4.2,0.0,6.2,25.0,21.2,94,72,6.36,20.86
SYDNEY AIRPORT AMO,13/01/2022,3.4,13.4,5.2,25.4,18.8,96,69,4.01,14.66
SYDNEY AIRPORT AMO,14/01/2022,5.7,36.0,5.0,28.8,19.4,95,53,5.07,24.56
SYDNEY AIRPORT AMO,15/01/2022,4.9,0.6,9.4,29.3,21.2,90,55,4.69,17.98
SYDNEY AIRPORT AMO,16/01/2022,5.2,0.2,5.4,26.3,21.8,91,76,6.41,29.18
SYDNEY AIRPORT AMO,17/01/2022,5.8,0.0,6.6,31.1,21.3,89,54,3.50,24.90
SYDNEY AIRPORT AMO,18/01/2022,2.6,0.0,8.0,23.4,21.9,96,74,7.76,8.90
SYDNEY AIRPORT AMO,19/01/2022,3.3,6.6,2.8,23.2,18.2,93,62,10.02,6.92
SYDNEY AIRPORT AMO,20/01/2022,6.0,2.2,5.2,25.4,19.1,76,49,8.60,19.45
SYDNEY AIRPORT AMO,21/01/2022,4.4,0.6,8.6,25.0,17.9,89,55,5.26,17.59
SYDNEY AIRPORT AMO,22/01/2022,5.1,1.6,5.4,24.1,17.7,89,62,5.59,27.09
SYDNEY AIRPORT AMO,23/01/2022,4.9,3.2,6.8,24.6,18.0,94,62,5.17,26.06
SYDNEY AIRPORT AMO,24/01/2022,4.5,0.4,5.0,25.9,18.5,93,65,4.63,22.21
SYDNEY AIRPORT AMO,25/01/2022,4.9,0.2,6.4,26.5,20.7,74,57,4.56,18.39
SYDNEY AIRPORT AMO,26/01/2022,5.7,0.0,4.8,27.2,20.5,78,49,4.49,22.65
SYDNEY AIRPORT AMO,27/01/2022,7.5,0.0,11.4,29.7,21.1,73,42,6.19,27.98
SYDNEY AIRPORT AMO,28/01/2022,8.2,0.0,11.4,30.0,22.9,77,42,7.98,29.28
SYDNEY AIRPORT AMO,29/01/2022,7.3,0.0,8.0,30.2,22.4,79,48,7.10,27.33
SYDNEY AIRPORT AMO,30/01/2022,6.4,0.0,10.2,29.7,22.8,79,54,4.69,26.83
SYDNEY AIRPORT AMO,31/01/2022,5.9,0.0,8.2,30.3,21.3,86,55,4.04,25.66
Totals:,,165.3,107,215.4,,,,,, 
