'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for October 2022,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 November 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/10/2022,3.9,6.4,3.6,19.1,13.9,83,49,6.36,16.34
SYDNEY AIRPORT AMO,02/10/2022,3.1,2.0,5.6,17.5,10.7,93,57,3.84,19.40
SYDNEY AIRPORT AMO,03/10/2022,3.9,0.4,4.6,20.0,10.0,89,45,4.09,21.02
SYDNEY AIRPORT AMO,04/10/2022,4.4,0.0,4.8,23.6,11.2,79,41,3.80,20.33
SYDNEY AIRPORT AMO,05/10/2022,2.2,10.8,5.4,17.6,14.8,93,65,7.68,5.39
SYDNEY AIRPORT AMO,06/10/2022,1.5,27.8,2.0,19.0,13.4,96,84,6.85,6.19
SYDNEY AIRPORT AMO,07/10/2022,2.9,96.6, ,22.4,15.1,93,64,4.65,12.19
SYDNEY AIRPORT AMO,08/10/2022,3.7,5.0,1.4,24.5,15.8,96,47,5.21,11.19
SYDNEY AIRPORT AMO,09/10/2022,2.9,42.8,5.2,16.0,10.2,95,63,8.53,17.87
SYDNEY AIRPORT AMO,10/10/2022,3.0,4.2,4.2,17.6,11.0,93,57,4.61,15.71
SYDNEY AIRPORT AMO,11/10/2022,3.4,0.2,4.6,20.6,12.9,85,50,4.23,12.99
SYDNEY AIRPORT AMO,12/10/2022,3.3,0.0,3.8,20.7,13.3,86,59,4.99,13.74
SYDNEY AIRPORT AMO,13/10/2022,4.3,0.0,3.2,22.3,15.4,82,51,7.66,14.11
SYDNEY AIRPORT AMO,14/10/2022,6.8,0.4,5.6,25.8,17.3,84,19,7.38,19.36
SYDNEY AIRPORT AMO,15/10/2022,5.1,0.0,7.8,22.0,12.8,69,38,3.86,25.42
SYDNEY AIRPORT AMO,16/10/2022,4.8,0.0,6.6,22.5,15.0,87,47,4.88,24.17
SYDNEY AIRPORT AMO,17/10/2022,3.3,22.8,3.8,20.5,14.0,97,60,7.43,15.17
SYDNEY AIRPORT AMO,18/10/2022,2.7,4.4,6.4,20.7,13.5,90,63,4.45,10.71
SYDNEY AIRPORT AMO,19/10/2022,4.2,1.6,4.8,24.5,16.2,95,60,3.75,22.02
SYDNEY AIRPORT AMO,20/10/2022,2.9,0.0,2.6,24.3,17.8,96,67,4.86,10.71
SYDNEY AIRPORT AMO,21/10/2022,3.2,0.2,2.0,23.9,18.9,92,70,7.39,11.87
SYDNEY AIRPORT AMO,22/10/2022,4.2,0.6,3.2,25.3,18.3,91,66,8.83,17.52
SYDNEY AIRPORT AMO,23/10/2022,2.1,0.0,5.8,21.1,17.9,96,82,5.01,9.74
SYDNEY AIRPORT AMO,24/10/2022,1.7,9.8,3.8,21.3,15.8,98,84,4.48,7.84
SYDNEY AIRPORT AMO,25/10/2022,4.4,17.0,2.0,27.2,17.2,98,49,4.29,17.68
SYDNEY AIRPORT AMO,26/10/2022,6.6,1.0,4.2,29.6,16.9,90,30,5.03,23.95
SYDNEY AIRPORT AMO,27/10/2022,6.3,0.0,9.6,28.5,18.1,66,31,5.01,18.42
SYDNEY AIRPORT AMO,28/10/2022,8.2,0.4,7.2,25.7,16.6,57,21,7.50,27.15
SYDNEY AIRPORT AMO,29/10/2022,8.3,0.0,7.2,27.2,15.6,53,17,6.33,27.60
SYDNEY AIRPORT AMO,30/10/2022,6.5,0.2,8.2,24.1,13.6,65,33,5.94,26.47
SYDNEY AIRPORT AMO,31/10/2022,6.3,0.0,9.8,29.7,17.5,84,38,7.34,15.48
Totals:,,130.1,254.6,149,,,,,, 
