'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for December 2022,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 January 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/12/2022,4.8,0.2,3.8,22.3,17.5,69,49,5.05,17.38
SYDNEY AIRPORT AMO,02/12/2022,5.4,0.0,10.4,22.9,17.1,83,51,5.47,26.26
SYDNEY AIRPORT AMO,03/12/2022,5.8,0.2,8.0,24.3,14.8,88,48,4.61,29.98
SYDNEY AIRPORT AMO,04/12/2022,6.7,0.0,6.8,26.1,16.1,84,39,5.81,30.36
SYDNEY AIRPORT AMO,05/12/2022,7.0,0.0,10.7,30.1,17.4,93,45,6.72,27.94
SYDNEY AIRPORT AMO,06/12/2022,5.8,10.8,9.0,23.2,17.3,91,52,6.29,30.77
SYDNEY AIRPORT AMO,07/12/2022,6.3,0.0,8.2,28.6,17.0,80,15,4.74,14.83
SYDNEY AIRPORT AMO,08/12/2022,7.2,0.0,4.4,21.9,17.9,70,30,7.21,31.29
SYDNEY AIRPORT AMO,09/12/2022,5.5,0.0,11.2,19.9,15.2,72,48,7.27,26.04
SYDNEY AIRPORT AMO,10/12/2022,5.6,0.0,12.0,22.3,15.3,68,48,5.03,26.15
SYDNEY AIRPORT AMO,11/12/2022,7.9,0.0,5.6,31.2,15.5,75,44,6.31,31.34
SYDNEY AIRPORT AMO,12/12/2022,8.6,0.0,15.0,32.4,20.6,92,21,8.23,19.57
SYDNEY AIRPORT AMO,13/12/2022,8.3,13.6,9.2,27.8,15.6,63,21,5.43,31.94
SYDNEY AIRPORT AMO,14/12/2022,8.2,0.0,11.4,24.8,15.8,75,16,7.69,30.54
SYDNEY AIRPORT AMO,15/12/2022,6.4,0.0,8.8,21.0,13.0,73,41,9.64,30.82
SYDNEY AIRPORT AMO,16/12/2022,5.2,0.4,9.2,18.8,12.3,73,53,10.18,26.12
SYDNEY AIRPORT AMO,17/12/2022,3.8,0.0,8.0,19.1,14.4,90,63,9.43,19.32
SYDNEY AIRPORT AMO,18/12/2022,3.7,13.2,5.4,18.8,13.4,96,66,9.18,24.06
SYDNEY AIRPORT AMO,19/12/2022,4.6,2.4,6.0,19.1,14.3,76,57,9.57,20.16
SYDNEY AIRPORT AMO,20/12/2022,5.5,0.0,7.0,20.9,14.0,77,49,6.44,27.70
SYDNEY AIRPORT AMO,21/12/2022,5.8,0.0,6.8,22.2,14.9,84,45,4.80,30.97
SYDNEY AIRPORT AMO,22/12/2022,4.4,0.2,9.3,24.3,16.1,83,43,4.77,13.25
SYDNEY AIRPORT AMO,23/12/2022,6.7,0.6,2.4,30.4,16.7,91,40,3.33,30.09
SYDNEY AIRPORT AMO,24/12/2022,7.6,0.0,7.0,30.9,17.8,93,35,4.66,32.01
SYDNEY AIRPORT AMO,25/12/2022,5.4,0.0,10.2,27.6,18.9,91,61,5.15,25.43
SYDNEY AIRPORT AMO,26/12/2022,6.7,0.0,7.8,30.0,18.9,97,48,4.84,30.04
SYDNEY AIRPORT AMO,27/12/2022,7.1,0.0,10.0,28.8,18.9,91,44,5.40,32.07
SYDNEY AIRPORT AMO,28/12/2022,7.6,0.0,9.8,28.9,20.6,81,48,7.39,31.85
SYDNEY AIRPORT AMO,29/12/2022,2.6,0.0,10.4,21.6,19.4,90,78,8.48,9.25
SYDNEY AIRPORT AMO,30/12/2022,3.6,4.0,2.2,25.5,18.0,97,62,5.88,12.85
SYDNEY AIRPORT AMO,31/12/2022,4.7,1.2,4.6,27.1,17.9,96,62,4.80,21.71
Totals:,,184.5,46.8,250.6,,,,,, 
