'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for March 2023,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 April 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/03/2023,5.0,0.0,4.8,25.9,21.4,86,62,7.13,22.11
SYDNEY AIRPORT AMO,02/03/2023,4.7,0.0,10.0,27.2,20.2,87,57,4.60,20.26
SYDNEY AIRPORT AMO,03/03/2023,2.8,0.0,3.2,24.4,20.2,93,73,4.48,11.82
SYDNEY AIRPORT AMO,04/03/2023,4.7,2.8,2.4,27.2,19.6,91,45,3.78,18.93
SYDNEY AIRPORT AMO,05/03/2023,6.2,0.2,6.4,29.3,18.6,86,47,6.50,23.83
SYDNEY AIRPORT AMO,06/03/2023,10.7,0.0,8.0,40.6,21.7,89,12,6.54,22.63
SYDNEY AIRPORT AMO,07/03/2023,8.0,0.0,12.0,36.5,21.7,91,16,4.74,22.58
SYDNEY AIRPORT AMO,08/03/2023,6.5,0.2,10.2,31.0,19.6,84,15,3.61,23.32
SYDNEY AIRPORT AMO,09/03/2023,6.6,0.0,7.0,28.8,18.0,66,24,4.42,23.34
SYDNEY AIRPORT AMO,10/03/2023,5.2,0.0,8.4,28.0,16.9,78,51,5.54,19.15
SYDNEY AIRPORT AMO,11/03/2023,6.8,0.0,6.4,33.0,19.2,91,29,4.70,22.78
SYDNEY AIRPORT AMO,12/03/2023,4.6,0.0,7.0,27.2,21.6,91,62,8.68,16.74
SYDNEY AIRPORT AMO,13/03/2023,3.9,1.0,8.6,25.8,19.5,88,53,6.18,9.73
SYDNEY AIRPORT AMO,14/03/2023,2.4,1.2,2.8,23.7,19.9,93,68,3.75,8.09
SYDNEY AIRPORT AMO,15/03/2023,4.3,11.4,1.8,28.4,18.4,96,57,2.69,21.73
SYDNEY AIRPORT AMO,16/03/2023,7.4,0.2,5.0,37.9,19.7,90,15,3.76,22.03
SYDNEY AIRPORT AMO,17/03/2023,6.5,0.0,10.0,30.5,22.1,77,33,5.49,20.17
SYDNEY AIRPORT AMO,18/03/2023,5.3,0.0,6.8,30.6,20.4,90,54,5.11,21.32
SYDNEY AIRPORT AMO,19/03/2023,6.2,0.0,6.8,34.5,20.9,97,36,4.46,21.23
SYDNEY AIRPORT AMO,20/03/2023,3.4,0.0,7.4,24.1,22.0,91,59,8.63,6.25
SYDNEY AIRPORT AMO,21/03/2023,3.6,0.2,4.4,23.0,18.3,79,52,5.57,8.38
SYDNEY AIRPORT AMO,22/03/2023,3.3,0.2,4.0,25.5,18.5,79,56,3.90,9.88
SYDNEY AIRPORT AMO,23/03/2023,3.0,0.0,4.4,26.8,19.9,93,61,3.44,10.76
SYDNEY AIRPORT AMO,24/03/2023,3.6,2.8,0.8,25.8,17.7,94,63,4.56,16.29
SYDNEY AIRPORT AMO,25/03/2023,3.5,0.2,6.2,25.8,19.7,88,54,4.96,10.36
SYDNEY AIRPORT AMO,26/03/2023,3.8,4.0,2.8,25.8,19.2,80,50,4.17,11.90
SYDNEY AIRPORT AMO,27/03/2023,2.5,5.0,4.4,26.9,19.5,95,65,3.94,7.55
SYDNEY AIRPORT AMO,28/03/2023,3.2,0.4,2.8,27.1,19.9,91,49,3.76,8.25
SYDNEY AIRPORT AMO,29/03/2023,5.1,3.0,1.4,28.8,19.5,89,34,5.88,11.78
SYDNEY AIRPORT AMO,30/03/2023,5.3,0.4,5.8,24.8,16.0,72,31,5.33,17.95
SYDNEY AIRPORT AMO,31/03/2023,5.0,0.0,5.8,24.4,14.2,62,32,4.35,19.17
Totals:,,153.1,33.2,177.8,,,,,, 
