'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for May 2023,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 June 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/05/2023,3.6,0.2,1.4,21.5,10.6,83,35,4.78,14.28
SYDNEY AIRPORT AMO,02/05/2023,3.8,0.0,5.0,22.6,10.4,79,41,5.42,13.53
SYDNEY AIRPORT AMO,03/05/2023,6.1,0.0,5.2,25.2,13.4,74,21,7.99,14.04
SYDNEY AIRPORT AMO,04/05/2023,3.4,0.0,7.4,19.1,11.5,76,42,5.72,13.90
SYDNEY AIRPORT AMO,05/05/2023,3.3,0.0,3.0,22.3,11.2,83,43,4.45,13.25
SYDNEY AIRPORT AMO,06/05/2023,3.2,0.0,4.8,22.5,10.6,83,32,3.52,13.64
SYDNEY AIRPORT AMO,07/05/2023,3.0,0.0,3.4,16.5,9.5,90,38,6.96,7.66
SYDNEY AIRPORT AMO,08/05/2023,3.6,10.8,4.0,16.4,6.7,82,39,9.74,10.34
SYDNEY AIRPORT AMO,09/05/2023,3.7,0.0,3.2,18.1,10.3,60,47,7.39,11.81
SYDNEY AIRPORT AMO,10/05/2023,2.7,0.0,4.0,18.5,9.7,76,51,4.42,13.19
SYDNEY AIRPORT AMO,11/05/2023,2.3,0.0,4.6,20.2,11.1,84,56,3.40,12.10
SYDNEY AIRPORT AMO,12/05/2023,3.0,0.0,2.8,24.0,11.1,92,38,3.38,12.87
SYDNEY AIRPORT AMO,13/05/2023,2.2,0.0,1.8,20.5,12.4,89,62,4.22,11.28
SYDNEY AIRPORT AMO,14/05/2023,1.6,34.0,4.4,18.9,13.2,96,72,3.22,11.48
SYDNEY AIRPORT AMO,15/05/2023,1.5,0.6,2.4,20.1,11.6,96,70,2.81,8.93
SYDNEY AIRPORT AMO,16/05/2023,2.8,0.2,1.0,21.4,11.1,96,50,5.27,12.43
SYDNEY AIRPORT AMO,17/05/2023,2.1,8.0,4.0,16.5,12.5,94,69,9.58,11.48
SYDNEY AIRPORT AMO,18/05/2023,2.0,2.2,4.6,16.5,9.6,90,66,6.55,11.04
SYDNEY AIRPORT AMO,19/05/2023,2.9,0.0,2.8,19.3,8.5,78,34,4.12,12.28
SYDNEY AIRPORT AMO,20/05/2023,3.3,0.0,2.4,19.8,7.4,74,36,5.26,12.06
SYDNEY AIRPORT AMO,21/05/2023,4.1,0.0,5.0,19.7,9.4,73,39,8.51,11.94
SYDNEY AIRPORT AMO,22/05/2023,3.2,0.0,3.6,20.4,9.0,74,29,4.07,12.03
SYDNEY AIRPORT AMO,23/05/2023,2.2,0.0, ,19.1,7.4,86,38,2.75,11.95
SYDNEY AIRPORT AMO,24/05/2023,2.8,0.0,4.0,21.7,7.7,92,24,3.21,11.86
SYDNEY AIRPORT AMO,25/05/2023,3.2,0.0,2.2,21.1,8.8,78,29,4.22,8.53
SYDNEY AIRPORT AMO,26/05/2023,3.8,0.0,3.6,17.3,12.9,83,29,8.13,8.43
SYDNEY AIRPORT AMO,27/05/2023,3.3,0.0,5.4,19.3,7.3,76,32,5.20,11.66
SYDNEY AIRPORT AMO,28/05/2023,2.9,0.0,3.6,17.9,5.6,75,38,5.25,10.39
SYDNEY AIRPORT AMO,29/05/2023,3.5,0.0,5.4,21.9,9.1,73,33,4.79,11.54
SYDNEY AIRPORT AMO,30/05/2023,3.2,0.0,4.0,21.9,9.7,72,39,4.69,11.44
SYDNEY AIRPORT AMO,31/05/2023,2.7,0.0,2.2,22.2,9.5,82,43,3.75,10.69
Totals:,,95,56,111.2,,,,,, 
