'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for June 2023,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 July 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/06/2023,2.1,0.0,2.2,21.4,13.8,90,49,3.48,5.29
SYDNEY AIRPORT AMO,02/06/2023,1.8,0.0,1.8,21.5,12.2,94,63,3.28,10.35
SYDNEY AIRPORT AMO,03/06/2023,2.5,0.0,1.8,24.2,14.2,96,49,3.97,10.54
SYDNEY AIRPORT AMO,04/06/2023,2.6,0.0,3.8,19.3,15.5,82,54,6.08,6.30
SYDNEY AIRPORT AMO,05/06/2023,2.3,0.0,3.0,19.9,13.4,80,48,3.68,7.37
SYDNEY AIRPORT AMO,06/06/2023,1.6,3.2,3.2,19.6,13.3,96,61,2.98,7.88
SYDNEY AIRPORT AMO,07/06/2023,2.2,0.2,2.6,21.3,12.1,92,56,4.23,10.95
SYDNEY AIRPORT AMO,08/06/2023,1.7,0.0,2.2,19.3,11.9,90,64,3.98,5.12
SYDNEY AIRPORT AMO,09/06/2023,3.3,0.2,2.4,21.5,8.0,79,35,5.09,10.46
SYDNEY AIRPORT AMO,10/06/2023,2.4,0.0,4.0,18.2,8.2,79,37,3.83,11.03
SYDNEY AIRPORT AMO,11/06/2023,2.2,0.0,3.6,19.3,6.6,82,38,2.96,11.00
SYDNEY AIRPORT AMO,12/06/2023,2.1,0.0,0.8,20.7,7.2,89,51,3.48,10.15
SYDNEY AIRPORT AMO,13/06/2023,2.5,0.4,1.4,21.7,9.0,93,46,4.15,10.40
SYDNEY AIRPORT AMO,14/06/2023,3.8,0.0,3.4,19.2,10.1,79,27,6.67,10.95
SYDNEY AIRPORT AMO,15/06/2023,3.2,0.0,4.0,19.3,7.9,68,34,5.17,10.93
SYDNEY AIRPORT AMO,16/06/2023,2.2,0.0,3.6,19.2,8.1,79,43,3.22,10.92
SYDNEY AIRPORT AMO,17/06/2023,2.5,0.0,2.8,20.0,7.6,86,34,3.59,10.91
SYDNEY AIRPORT AMO,18/06/2023,3.6,0.0,3.0,20.5,6.5,83,26,5.75,10.27
SYDNEY AIRPORT AMO,19/06/2023,3.4,0.0,4.0,18.1,5.4,74,24,5.55,10.63
SYDNEY AIRPORT AMO,20/06/2023,2.9,0.0,4.4,15.0,6.5,65,35,5.74,10.90
SYDNEY AIRPORT AMO,21/06/2023,2.4,0.0,2.2,17.4,5.3,72,33,3.51,10.90
SYDNEY AIRPORT AMO,22/06/2023,1.6,0.0,2.0,16.4,7.4,91,53,3.09,7.35
SYDNEY AIRPORT AMO,23/06/2023,3.1,8.0,2.4,20.1,7.5,95,30,5.25,10.78
SYDNEY AIRPORT AMO,24/06/2023,3.1,0.0,3.8,21.0,9.2,72,28,3.98,10.87
SYDNEY AIRPORT AMO,25/06/2023,4.5,0.0,4.4,21.7,9.5,59,20,5.87,10.94
SYDNEY AIRPORT AMO,26/06/2023,5.0,0.0,6.4,19.9,10.0,49,29,8.49,10.95
SYDNEY AIRPORT AMO,27/06/2023,3.0,0.0,6.4,19.0,10.3,63,36,4.42,10.49
SYDNEY AIRPORT AMO,28/06/2023,1.6,0.4,1.4,12.3,11.1,92,51,4.65,4.53
SYDNEY AIRPORT AMO,29/06/2023,3.0,1.6,1.6,16.2,9.4,80,38,6.78,11.01
SYDNEY AIRPORT AMO,30/06/2023,4.0,0.2,3.0,19.2,7.3,60,36,7.71,11.06
Totals:,,82.2,14.2,91.6,,,,,, 
