'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for August 2023,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 September 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/08/2023,3.4,0.0,4.2,20.8,11.0,78,29,4.38,13.21
SYDNEY AIRPORT AMO,02/08/2023,2.0,0.0,3.0,19.2,11.4,82,59,2.92,9.88
SYDNEY AIRPORT AMO,03/08/2023,2.8,0.0,1.6,22.1,9.9,92,47,4.13,13.42
SYDNEY AIRPORT AMO,04/08/2023,3.8,0.0,4.0,24.8,10.2,89,25,4.01,13.51
SYDNEY AIRPORT AMO,05/08/2023,2.1,0.0,5.0,18.9,12.4,91,49,3.51,5.94
SYDNEY AIRPORT AMO,06/08/2023,2.0,5.0,1.4,16.8,12.3,92,67,6.45,9.91
SYDNEY AIRPORT AMO,07/08/2023,1.5,0.4,2.4,15.1,10.2,93,75,3.83,9.75
SYDNEY AIRPORT AMO,08/08/2023,1.8,11.4,0.6,17.5,10.8,96,68,3.39,12.73
SYDNEY AIRPORT AMO,09/08/2023,3.2,0.0,3.4,21.6,10.4,89,40,4.41,13.82
SYDNEY AIRPORT AMO,10/08/2023,5.1,0.0,3.6,24.4,9.7,81,24,6.65,14.01
SYDNEY AIRPORT AMO,11/08/2023,3.1,0.0,4.0,18.9,9.2,69,45,4.31,14.36
SYDNEY AIRPORT AMO,12/08/2023,3.2,0.0,5.2,22.3,7.7,84,28,3.26,13.51
SYDNEY AIRPORT AMO,13/08/2023,2.1,0.0,4.2,17.8,12.0,91,55,3.67,9.94
SYDNEY AIRPORT AMO,14/08/2023,1.3,16.2,1.6,15.9,11.6,96,80,4.04,7.91
SYDNEY AIRPORT AMO,15/08/2023,1.9,3.0,1.4,15.6,8.4,93,70,5.68,13.56
SYDNEY AIRPORT AMO,16/08/2023,1.9,5.4,1.8,17.3,9.2,95,63,3.50,11.46
SYDNEY AIRPORT AMO,17/08/2023,3.4,0.0,3.4,21.0,7.6,93,22,3.48,15.10
SYDNEY AIRPORT AMO,18/08/2023,4.0,7.2,2.8,19.3,11.1,96,29,7.31,14.94
SYDNEY AIRPORT AMO,19/08/2023,4.7,0.2,6.4,19.9,8.1,60,31,7.12,15.09
SYDNEY AIRPORT AMO,20/08/2023,4.1,0.0,4.2,22.8,10.8,79,32,4.77,15.63
SYDNEY AIRPORT AMO,21/08/2023,3.3,0.0,4.8,22.3,11.5,88,34,3.21,15.70
SYDNEY AIRPORT AMO,22/08/2023,4.7,0.0,4.4,25.4,10.6,84,31,5.58,14.30
SYDNEY AIRPORT AMO,23/08/2023,2.7,1.4,5.2,17.6,11.4,90,54,5.71,11.90
SYDNEY AIRPORT AMO,24/08/2023,2.5,2.0,2.8,18.7,11.6,96,47,3.36,12.48
SYDNEY AIRPORT AMO,25/08/2023,2.9,0.0,3.0,19.3,9.2,89,44,3.41,16.42
SYDNEY AIRPORT AMO,26/08/2023,2.4,0.0,3.6,18.8,10.4,92,63,3.41,15.34
SYDNEY AIRPORT AMO,27/08/2023,2.9,0.0, ,20.8,9.8,91,51,3.60,15.89
SYDNEY AIRPORT AMO,28/08/2023,3.1,0.0,3.2,21.2,10.9,92,46,3.66,15.87
SYDNEY AIRPORT AMO,29/08/2023,3.7,0.0,4.8,22.6,11.0,91,40,4.53,16.60
SYDNEY AIRPORT AMO,30/08/2023,4.6,0.0,5.2,27.4,12.3,87,26,4.13,14.08
SYDNEY AIRPORT AMO,31/08/2023,2.5,8.8,4.6,18.8,11.6,93,65,4.22,15.88
Totals:,,92.7,61,105.8,,,,,, 
