'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for October 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 November 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/10/2023,10.9,0.0,6.8,36.9,15.9,89,10,8.34,20.81
SYDNEY AIRPORT AMO,02/10/2023,4.8,0.0,12.6,23.3,16.2,78,50,5.69,21.82
SYDNEY AIRPORT AMO,03/10/2023,9.8,0.0,5.4,37.2,17.6,87,12,6.56,22.58
SYDNEY AIRPORT AMO,04/10/2023,6.0,0.0,14.6,28.8,20.6,87,34,8.09,11.35
SYDNEY AIRPORT AMO,05/10/2023,7.1,9.2,5.4,22.7,13.2,75,17,9.08,23.44
SYDNEY AIRPORT AMO,06/10/2023,4.5,0.0,7.6,21.0,11.7,77,43,7.30,15.03
SYDNEY AIRPORT AMO,07/10/2023,3.8,2.2,5.6,18.3,11.7,87,57,6.30,22.79
SYDNEY AIRPORT AMO,08/10/2023,4.1,0.0,6.6,20.9,12.7,80,47,4.01,20.69
SYDNEY AIRPORT AMO,09/10/2023,5.2,0.0,5.2,24.9,12.1,90,33,4.16,24.29
SYDNEY AIRPORT AMO,10/10/2023,4.0,0.0,6.4,22.1,14.6,90,59,5.00,21.15
SYDNEY AIRPORT AMO,11/10/2023,4.9,0.0,6.2,25.6,16.0,83,52,4.81,22.17
SYDNEY AIRPORT AMO,12/10/2023,8.4,0.0,7.4,32.8,15.5,88,25,7.13,24.43
SYDNEY AIRPORT AMO,13/10/2023,5.9,2.6,10.4,22.9,12.4,79,26,5.73,25.00
SYDNEY AIRPORT AMO,14/10/2023,8.1,0.0,6.6,30.0,14.0,60,17,5.79,24.96
SYDNEY AIRPORT AMO,15/10/2023,6.0,0.0,8.6,24.3,14.3,69,31,5.03,25.29
SYDNEY AIRPORT AMO,16/10/2023,7.4,0.0,8.0,27.4,15.0,80,22,8.33,18.66
SYDNEY AIRPORT AMO,17/10/2023,3.8,1.4,6.2,17.8,10.3,92,47,8.37,17.01
SYDNEY AIRPORT AMO,18/10/2023,4.4,6.2,4.8,21.0,12.6,85,47,4.84,22.16
SYDNEY AIRPORT AMO,19/10/2023,4.3,0.0,4.8,22.8,13.4,84,42,4.20,18.15
SYDNEY AIRPORT AMO,20/10/2023,5.7,0.0,5.4,26.0,14.1,84,43,4.85,26.10
SYDNEY AIRPORT AMO,21/10/2023,5.5,0.0,7.2,26.0,16.0,93,53,7.14,25.98
SYDNEY AIRPORT AMO,22/10/2023,6.5,0.0,8.0,26.5,17.0,92,16,4.53,26.47
SYDNEY AIRPORT AMO,23/10/2023,7.1,0.0,7.6,28.7,15.9,72,18,4.41,26.74
SYDNEY AIRPORT AMO,24/10/2023,6.6,0.0,7.8,29.0,15.4,89,30,4.64,26.85
SYDNEY AIRPORT AMO,25/10/2023,5.2,0.0,9.4,23.3,17.7,88,54,7.00,25.42
SYDNEY AIRPORT AMO,26/10/2023,3.7,1.4,7.8,17.0,13.0,88,46,10.09,9.72
SYDNEY AIRPORT AMO,27/10/2023,4.3,7.4,6.6,18.3,12.2,87,50,9.36,21.06
SYDNEY AIRPORT AMO,28/10/2023,4.2,2.6,6.4,20.5,11.9,78,46,5.15,17.25
SYDNEY AIRPORT AMO,29/10/2023,6.6,0.0,5.4,26.0,12.2,79,31,5.79,27.44
SYDNEY AIRPORT AMO,30/10/2023,8.2,0.0,8.4,32.1,14.7,81,14,5.32,23.88
SYDNEY AIRPORT AMO,31/10/2023,10.2,0.0,11.8,29.2,21.7,64,8,8.57,27.28
Totals:,,187.2,33,231,,,,,, 
