'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for November 2023,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 December 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/11/2023,4.6,0.0,10.0,21.2,14.8,84,50,5.54,22.55
SYDNEY AIRPORT AMO,02/11/2023,5.3,0.0,6.8,22.6,14.2,72,50,5.20,26.15
SYDNEY AIRPORT AMO,03/11/2023,3.8,0.0,6.0,22.8,16.7,89,64,4.16,19.02
SYDNEY AIRPORT AMO,04/11/2023,2.8,1.4,5.2,22.0,16.0,93,69,5.75,10.60
SYDNEY AIRPORT AMO,05/11/2023,3.2,57.0, ,20.7,15.1,95,54,6.16,9.95
SYDNEY AIRPORT AMO,06/11/2023,4.1,2.0,3.8,21.9,14.5,89,45,4.36,17.53
SYDNEY AIRPORT AMO,07/11/2023,6.0,0.0,5.2,24.9,15.3,78,48,6.04,27.57
SYDNEY AIRPORT AMO,08/11/2023,6.3,0.0,7.4,27.0,16.3,86,41,5.57,26.59
SYDNEY AIRPORT AMO,09/11/2023,5.0,0.0,8.6,27.6,17.5,93,51,5.28,20.05
SYDNEY AIRPORT AMO,10/11/2023,5.6,12.4,5.2,25.9,16.8,90,56,5.35,28.80
SYDNEY AIRPORT AMO,11/11/2023,6.3,0.0,6.2,28.1,18.7,90,54,6.50,29.08
SYDNEY AIRPORT AMO,12/11/2023,4.8,0.0,11.0,24.6,18.2,89,66,7.25,24.74
SYDNEY AIRPORT AMO,13/11/2023,4.9,0.4,6.4,22.9,17.0,87,51,6.01,22.12
SYDNEY AIRPORT AMO,14/11/2023,5.6,0.0,8.0,25.5,17.9,79,53,5.40,25.35
SYDNEY AIRPORT AMO,15/11/2023,4.3,0.0,7.8,24.6,19.2,90,73,5.13,22.84
SYDNEY AIRPORT AMO,16/11/2023,5.2,0.0,5.8,26.4,19.5,97,55,5.24,24.64
SYDNEY AIRPORT AMO,17/11/2023,5.0,14.6,7.4,21.8,16.2,93,54,9.34,25.45
SYDNEY AIRPORT AMO,18/11/2023,6.2,0.0,9.0,25.3,15.3,80,45,6.18,28.26
SYDNEY AIRPORT AMO,19/11/2023,6.9,0.0,9.6,26.7,15.6,79,45,7.25,30.25
SYDNEY AIRPORT AMO,20/11/2023,4.7,0.0,8.4,26.9,19.9,83,39,4.58,12.20
SYDNEY AIRPORT AMO,21/11/2023,3.5,4.6,6.0,22.1,18.2,95,75,5.35,19.83
SYDNEY AIRPORT AMO,22/11/2023,5.0,0.8,4.0,23.5,18.3,86,69,6.33,28.31
SYDNEY AIRPORT AMO,23/11/2023,3.4,0.2,2.8,23.1,18.9,96,74,7.30,16.76
SYDNEY AIRPORT AMO,24/11/2023,2.7,6.2,4.2,24.2,18.4,96,73,4.10,10.71
SYDNEY AIRPORT AMO,25/11/2023,2.7,5.0,2.2,23.8,18.6,92,76,5.38,10.23
SYDNEY AIRPORT AMO,26/11/2023,7.9,0.6,3.2,33.1,17.7,94,27,5.04,27.97
SYDNEY AIRPORT AMO,27/11/2023,5.1,3.6,7.0,25.6,20.4,93,62,5.97,25.20
SYDNEY AIRPORT AMO,28/11/2023,2.2,0.2,6.8,22.6,20.0,94,77,7.60,5.63
SYDNEY AIRPORT AMO,29/11/2023,4.5,6.8,2.6,26.8,19.4,93,63,7.38,17.20
SYDNEY AIRPORT AMO,30/11/2023,5.6,15.0,0.8,29.7,16.6,95,35,3.87,20.07
Totals:,,143.2,130.8,177.4,,,,,, 
