'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for December 2023,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 January 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/12/2023,5.2,1.0,6.8,25.8,18.0,87,60,4.42,25.74
SYDNEY AIRPORT AMO,02/12/2023,3.8,0.0,6.2,24.9,19.1,92,68,4.51,17.51
SYDNEY AIRPORT AMO,03/12/2023,5.5,14.2,4.8,24.9,15.5,94,59,5.85,30.34
SYDNEY AIRPORT AMO,04/12/2023,5.6,0.0,8.0,26.1,17.7,86,51,4.42,25.98
SYDNEY AIRPORT AMO,05/12/2023,7.6,0.0,7.0,30.7,18.2,79,42,5.21,31.53
SYDNEY AIRPORT AMO,06/12/2023,6.0,0.0,11.2,25.3,20.8,88,62,6.80,31.29
SYDNEY AIRPORT AMO,07/12/2023,6.0,0.0,7.2,28.5,19.3,82,53,4.24,26.23
SYDNEY AIRPORT AMO,08/12/2023,8.9,0.0,7.4,34.3,20.5,82,34,6.19,30.12
SYDNEY AIRPORT AMO,09/12/2023,13.4,0.0,10.6,43.5,22.3,94,16,9.09,23.18
SYDNEY AIRPORT AMO,10/12/2023,3.4,0.0,9.8,23.9,19.9,97,82,7.05,20.31
SYDNEY AIRPORT AMO,11/12/2023,5.8,0.0,4.0,27.3,20.4,90,66,3.92,30.41
SYDNEY AIRPORT AMO,12/12/2023,6.2,0.0,7.6,29.4,21.6,93,53,4.53,27.60
SYDNEY AIRPORT AMO,13/12/2023,6.8,0.0,7.8,30.2,21.0,88,54,6.72,27.84
SYDNEY AIRPORT AMO,14/12/2023,12.4,3.4,9.6,40.4,21.7,89,14,8.05,27.43
SYDNEY AIRPORT AMO,15/12/2023,6.6,0.0,12.6,27.3,20.6,82,54,6.21,30.12
SYDNEY AIRPORT AMO,16/12/2023,9.2,0.0,9.0,33.5,19.8,86,16,5.34,31.16
SYDNEY AIRPORT AMO,17/12/2023,6.1,0.0,11.2,27.5,19.9,80,48,6.32,22.56
SYDNEY AIRPORT AMO,18/12/2023,4.8,0.0,9.2,29.2,20.0,91,60,3.91,20.22
SYDNEY AIRPORT AMO,19/12/2023,8.0,0.0,4.0,36.2,21.7,96,32,7.92,15.42
SYDNEY AIRPORT AMO,20/12/2023,1.5,11.2,8.2,19.4,17.4,96,85,10.12,4.43
SYDNEY AIRPORT AMO,21/12/2023,3.4,9.2,1.8,21.9,15.9,94,69,10.20,14.66
SYDNEY AIRPORT AMO,22/12/2023,6.1,0.6,5.8,23.2,15.8,82,52,7.78,31.75
SYDNEY AIRPORT AMO,23/12/2023,5.5,2.0,8.2,25.4,16.3,91,54,4.93,27.63
SYDNEY AIRPORT AMO,24/12/2023,3.0,0.6,7.2,23.9,19.4,97,68,6.26,10.38
SYDNEY AIRPORT AMO,25/12/2023,5.1,91.2, ,27.6,15.4,96,54,4.67,22.87
SYDNEY AIRPORT AMO,26/12/2023,4.2,1.2,5.4,27.5,20.4,92,70,5.32,18.44
SYDNEY AIRPORT AMO,27/12/2023,4.3,0.0,4.0,26.3,19.8,95,62,5.56,18.46
SYDNEY AIRPORT AMO,28/12/2023,6.0,5.6,5.8,27.3,16.2,90,48,3.29,30.12
SYDNEY AIRPORT AMO,29/12/2023,3.6,0.0,8.0,26.1,20.0,89,67,3.52,14.67
SYDNEY AIRPORT AMO,30/12/2023,6.6,0.0,3.8,26.0,18.9,86,43,6.15,29.33
SYDNEY AIRPORT AMO,31/12/2023,2.7,2.6,9.2,22.0,17.1,91,59,5.12,5.70
Totals:,,183.3,142.8,221.4,,,,,, 
