'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for January 2024,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 February 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/01/2024,3.6,6.0,2.2,26.0,18.5,94,63,5.79,12.51
SYDNEY AIRPORT AMO,02/01/2024,6.9,0.2,5.2,29.0,21.0,85,54,7.24,29.60
SYDNEY AIRPORT AMO,03/01/2024,6.8,0.0,11.8,29.6,21.8,84,50,6.19,27.29
SYDNEY AIRPORT AMO,04/01/2024,3.4,0.0,7.6,24.9,21.6,92,73,6.51,13.79
SYDNEY AIRPORT AMO,05/01/2024,5.7,2.8,5.0,24.5,20.4,81,55,6.46,24.90
SYDNEY AIRPORT AMO,06/01/2024,5.9,0.0,7.6,26.8,18.5,77,45,5.53,21.99
SYDNEY AIRPORT AMO,07/01/2024,7.4,0.0,8.0,28.7,19.7,74,50,8.63,27.39
SYDNEY AIRPORT AMO,08/01/2024,4.0,0.0,11.8,28.9,22.1,88,57,5.16,10.68
SYDNEY AIRPORT AMO,09/01/2024,5.5,5.6,3.2,25.6,20.6,84,66,5.68,27.48
SYDNEY AIRPORT AMO,10/01/2024,5.8,0.0,7.0,29.5,21.2,85,58,4.54,25.14
SYDNEY AIRPORT AMO,11/01/2024,4.7,0.0,7.6,28.4,22.6,94,76,4.37,23.31
SYDNEY AIRPORT AMO,12/01/2024,6.3,2.2,7.2,29.7,22.5,93,52,5.41,26.77
SYDNEY AIRPORT AMO,13/01/2024,7.0,0.2,7.8,31.3,20.7,93,53,5.55,30.42
SYDNEY AIRPORT AMO,14/01/2024,3.8,3.8,10.8,26.6,20.5,95,76,8.87,18.13
SYDNEY AIRPORT AMO,15/01/2024,4.4,20.0,6.6,25.6,18.9,94,54,9.42,11.78
SYDNEY AIRPORT AMO,16/01/2024,3.5,2.0,5.8,25.8,18.4,88,70,4.74,13.86
SYDNEY AIRPORT AMO,17/01/2024,4.1,0.8,2.4,28.7,21.0,95,62,5.74,14.32
SYDNEY AIRPORT AMO,18/01/2024,6.2,20.2, ,28.1,21.2,96,46,4.06,28.46
SYDNEY AIRPORT AMO,19/01/2024,7.6,0.0, ,27.9,18.9,69,31,5.67,29.01
SYDNEY AIRPORT AMO,20/01/2024,5.5,0.0,23.6,28.0,21.8,76,55,6.50,17.02
SYDNEY AIRPORT AMO,21/01/2024,10.8,0.0,8.0,39.7,21.4,85,16,5.60,30.78
SYDNEY AIRPORT AMO,22/01/2024,4.3,0.0,12.0,24.2,20.7,79,66,8.44,14.10
SYDNEY AIRPORT AMO,23/01/2024,5.2,0.0,7.4,25.9,20.4,83,49,5.58,19.12
SYDNEY AIRPORT AMO,24/01/2024,5.9,3.0,4.6,30.1,19.5,78,48,4.81,20.99
SYDNEY AIRPORT AMO,25/01/2024,4.7,0.0,7.2,31.8,24.1,88,55,4.01,14.94
SYDNEY AIRPORT AMO,26/01/2024,10.5,0.0, ,40.6,23.4,87,19,7.21,19.77
SYDNEY AIRPORT AMO,27/01/2024,2.7,0.2, ,25.0,19.6,91,65,3.52,8.82
SYDNEY AIRPORT AMO,28/01/2024,5.2,0.2, ,27.7,18.6,92,62,5.66,24.20
SYDNEY AIRPORT AMO,29/01/2024,7.3,0.2,21.2,30.7,21.7,86,47,6.24,29.75
SYDNEY AIRPORT AMO,30/01/2024,3.7,0.0,10.0,24.4,22.2,94,79,6.00,19.38
SYDNEY AIRPORT AMO,31/01/2024,3.8,0.2,4.0,25.4,21.6,93,75,7.08,17.47
Totals:,,172.2,67.6,215.6,,,,,, 
