'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for March 2024,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 April 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/03/2024,3.6,0.0,8.0,29.0,21.3,91,65,4.58,12.16
SYDNEY AIRPORT AMO,02/03/2024,2.6,0.0,4.0,24.3,22.6,92,73,6.09,7.63
SYDNEY AIRPORT AMO,03/03/2024,6.7,0.6,3.4,33.6,18.9,89,34,4.50,22.73
SYDNEY AIRPORT AMO,04/03/2024,4.3,0.0,8.0,22.9,20.3,78,62,8.38,13.74
SYDNEY AIRPORT AMO,05/03/2024,5.7,0.0,8.0,26.8,17.3,74,43,5.06,23.34
SYDNEY AIRPORT AMO,06/03/2024,5.7,0.0,6.8,29.3,18.8,80,48,5.06,21.97
SYDNEY AIRPORT AMO,07/03/2024,4.0,0.0,6.0,25.5,21.4,91,75,5.81,21.24
SYDNEY AIRPORT AMO,08/03/2024,5.3,0.0,4.4,29.5,21.1,89,52,5.26,21.11
SYDNEY AIRPORT AMO,09/03/2024,5.9,0.0,7.2,30.4,20.5,83,42,4.38,22.98
SYDNEY AIRPORT AMO,10/03/2024,6.4,0.0,8.6,30.6,20.2,86,39,5.45,23.11
SYDNEY AIRPORT AMO,11/03/2024,6.3,0.0,9.6,29.7,20.4,85,34,5.55,21.30
SYDNEY AIRPORT AMO,12/03/2024,6.2,0.0,9.0,33.8,19.9,89,28,3.37,22.75
SYDNEY AIRPORT AMO,13/03/2024,5.1,0.0,7.0,29.6,21.5,92,45,4.18,19.67
SYDNEY AIRPORT AMO,14/03/2024,5.8,0.0,6.2,31.3,20.8,92,44,6.96,16.67
SYDNEY AIRPORT AMO,15/03/2024,4.8,2.8,6.6,25.5,18.6,86,52,7.69,16.35
SYDNEY AIRPORT AMO,16/03/2024,4.1,0.6,5.6,25.5,17.1,89,57,4.92,18.22
SYDNEY AIRPORT AMO,17/03/2024,2.2,35.8,7.0,22.2,17.6,96,73,3.56,9.25
SYDNEY AIRPORT AMO,18/03/2024,3.3,0.2,1.2,26.2,18.1,94,61,3.65,13.55
SYDNEY AIRPORT AMO,19/03/2024,4.4,6.6,3.8,28.6,19.5,95,56,4.53,18.56
SYDNEY AIRPORT AMO,20/03/2024,3.3,0.2,8.0,25.6,21.7,88,64,7.54,6.80
SYDNEY AIRPORT AMO,21/03/2024,4.1,0.6,3.8,20.8,14.2,73,57,7.15,17.06
SYDNEY AIRPORT AMO,22/03/2024,3.8,0.2,6.8,24.7,15.9,78,48,3.71,14.04
SYDNEY AIRPORT AMO,23/03/2024,3.4,0.0,4.0,24.2,16.2,85,63,3.00,17.29
SYDNEY AIRPORT AMO,24/03/2024,3.7,0.0,4.0,25.6,18.1,88,60,3.71,16.96
SYDNEY AIRPORT AMO,25/03/2024,5.6,0.0,1.4,30.7,17.5,92,20,3.66,20.30
SYDNEY AIRPORT AMO,26/03/2024,4.3,0.0,5.4,27.5,18.4,94,53,4.23,19.79
SYDNEY AIRPORT AMO,27/03/2024,4.1,0.0,6.8,25.2,19.8,92,58,4.98,19.21
SYDNEY AIRPORT AMO,28/03/2024,3.2,0.0,4.6,25.0,19.9,90,68,5.44,12.83
SYDNEY AIRPORT AMO,29/03/2024,3.8,0.0,4.6,25.5,18.9,85,54,3.41,16.95
SYDNEY AIRPORT AMO,30/03/2024,4.6,0.0,6.4,29.2,16.6,86,44,3.66,19.32
SYDNEY AIRPORT AMO,31/03/2024,3.7,0.0,4.8,27.7,17.3,93,58,2.93,18.60
Totals:,,140,47.6,181,,,,,, 
