'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for April 2024,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 May 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/04/2024,5.2,0.0,4.4,29.2,18.5,91,44,5.57,19.00
SYDNEY AIRPORT AMO,02/04/2024,4.6,0.0,5.4,27.7,20.3,82,36,5.87,6.60
SYDNEY AIRPORT AMO,03/04/2024,4.4,1.2,4.0,24.5,16.6,73,48,4.84,18.02
SYDNEY AIRPORT AMO,04/04/2024,2.3,0.0,6.2,22.3,18.8,92,68,6.31,5.29
SYDNEY AIRPORT AMO,05/04/2024,1.6,21.2,4.4,21.2,18.3,97,80,8.72,3.44
SYDNEY AIRPORT AMO,06/04/2024,5.7,145.0, ,29.6,17.0,98,35,6.78,17.77
SYDNEY AIRPORT AMO,07/04/2024,3.7,0.2,6.6,28.1,16.7,88,41,2.61,15.78
SYDNEY AIRPORT AMO,08/04/2024,3.0,0.0,4.6,23.2,16.9,85,64,3.58,14.72
SYDNEY AIRPORT AMO,09/04/2024,3.2,0.0,4.0,21.3,16.2,90,59,7.76,9.96
SYDNEY AIRPORT AMO,10/04/2024,4.0,7.2,4.4,19.8,12.0,73,57,9.96,14.46
SYDNEY AIRPORT AMO,11/04/2024,3.4,0.0,4.0,20.3,12.4,78,55,5.53,16.22
SYDNEY AIRPORT AMO,12/04/2024,3.2,0.0,4.2,23.3,13.3,88,51,3.30,16.73
SYDNEY AIRPORT AMO,13/04/2024,2.9,0.0,5.8,22.8,14.4,87,67,3.66,16.51
SYDNEY AIRPORT AMO,14/04/2024,3.0,0.0,2.2,25.1,15.8,91,62,3.11,16.06
SYDNEY AIRPORT AMO,15/04/2024,3.2,0.0,3.6,23.8,16.1,93,53,3.31,16.39
SYDNEY AIRPORT AMO,16/04/2024,2.8,0.0,4.8,23.6,14.7,88,67,3.77,14.91
SYDNEY AIRPORT AMO,17/04/2024,2.4,0.0,4.0,21.4,16.9,89,78,5.37,13.35
SYDNEY AIRPORT AMO,18/04/2024,2.7,0.4,4.6,23.0,16.7,91,66,4.02,13.92
SYDNEY AIRPORT AMO,19/04/2024,3.2,2.4,1.2,20.6,12.7,89,52,6.44,11.60
SYDNEY AIRPORT AMO,20/04/2024,2.8,2.2,4.2,19.6,15.1,95,64,10.83,10.09
SYDNEY AIRPORT AMO,21/04/2024,2.9,6.8,3.6,20.6,15.8,84,68,6.69,14.06
SYDNEY AIRPORT AMO,22/04/2024,2.7,0.0,3.2,22.8,13.9,89,58,3.29,14.53
SYDNEY AIRPORT AMO,23/04/2024,4.0,0.0,3.4,25.9,13.9,90,43,4.96,15.31
SYDNEY AIRPORT AMO,24/04/2024,4.6,0.0,5.8,26.6,17.2,79,36,5.67,10.98
SYDNEY AIRPORT AMO,25/04/2024,3.5,0.0,4.4,20.5,12.5,79,44,5.08,14.92
SYDNEY AIRPORT AMO,26/04/2024,3.1,0.0,4.6,19.3,11.6,77,57,5.76,14.85
SYDNEY AIRPORT AMO,27/04/2024,2.4,0.0,3.2,21.3,11.9,86,63,3.15,13.40
SYDNEY AIRPORT AMO,28/04/2024,3.1,0.0,2.6,24.7,13.3,92,55,4.13,14.51
SYDNEY AIRPORT AMO,29/04/2024,3.9,0.0,4.6,28.2,14.3,91,27,3.37,13.89
SYDNEY AIRPORT AMO,30/04/2024,2.3,0.0,4.0,20.0,17.5,95,66,9.24,5.34
Totals:,,99.8,186.6,122,,,,,, 
