'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for August 2024,,,,,,,,,,
Issued at 22:33 GMT on Sunday 01 September 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/08/2024,2.0,0.4,2.8,14.7,8.8,87,67,7.42,8.87
SYDNEY AIRPORT AMO,02/08/2024, ,4.8,1.8,15.3,8.5, , , ,12.83
SYDNEY AIRPORT AMO,03/08/2024,2.7,0.0,0.6,19.4,7.3,94,32,3.39,13.55
SYDNEY AIRPORT AMO,04/08/2024,1.9,0.0,3.2,16.7,6.8,90,50,2.76,11.27
SYDNEY AIRPORT AMO,05/08/2024,1.8,0.0,2.0,16.6,9.6,86,58,2.93,8.02
SYDNEY AIRPORT AMO,06/08/2024,2.1,0.0,0.8,16.2,9.0,86,58,3.72,13.19
SYDNEY AIRPORT AMO,07/08/2024,2.2,0.0,3.8,17.2,7.2,88,44,2.71,14.00
SYDNEY AIRPORT AMO,08/08/2024,2.5,0.0,2.4,19.7,7.1,92,53,4.26,14.13
SYDNEY AIRPORT AMO,09/08/2024,2.7,0.0,2.0,21.6,10.2,89,42,3.22,12.47
SYDNEY AIRPORT AMO,10/08/2024,1.9,0.0,2.4,18.3,9.9,96,66,3.28,13.87
SYDNEY AIRPORT AMO,11/08/2024,2.0,0.0,2.0,18.8,9.3,96,66,3.27,13.85
SYDNEY AIRPORT AMO,12/08/2024,1.3,2.4,1.6,17.0,11.4,97,85,2.77,9.79
SYDNEY AIRPORT AMO,13/08/2024,1.7,2.4,0.6,19.9,12.9,97,70,3.98,7.48
SYDNEY AIRPORT AMO,14/08/2024,1.2,1.0,1.6,18.7,15.1,97,88,2.44,6.70
SYDNEY AIRPORT AMO,15/08/2024,1.4,8.4,0.8,17.9,14.2,97,86,3.85,9.97
SYDNEY AIRPORT AMO,16/08/2024,2.4,0.2,2.2,22.6,13.4,95,56,3.12,11.93
SYDNEY AIRPORT AMO,17/08/2024,3.8,2.8,1.6,21.8,13.3,89,32,5.29,13.74
SYDNEY AIRPORT AMO,18/08/2024,3.1,0.0,5.0,16.8,11.2,76,57,7.98,11.52
SYDNEY AIRPORT AMO,19/08/2024,1.9,1.2,4.2,17.0,12.4,93,67,3.16,11.13
SYDNEY AIRPORT AMO,20/08/2024,3.4,0.2,1.0,22.4,10.2,93,47,5.07,15.65
SYDNEY AIRPORT AMO,21/08/2024,5.6,0.2,4.8,27.3,15.6,80,23,5.98,15.04
SYDNEY AIRPORT AMO,22/08/2024,3.9,0.0,7.6,23.5,14.6,66,32,3.66,13.05
SYDNEY AIRPORT AMO,23/08/2024,4.3,0.0,4.0,23.1,10.9,75,30,4.88,15.20
SYDNEY AIRPORT AMO,24/08/2024,4.9,0.4,4.4,28.1,13.8,86,31,5.27,13.38
SYDNEY AIRPORT AMO,25/08/2024,3.1,0.0,5.6,23.8,16.2,84,52,4.57,8.08
SYDNEY AIRPORT AMO,26/08/2024,6.1,0.0,3.2,25.4,16.5,61,22,6.42,16.70
SYDNEY AIRPORT AMO,27/08/2024,4.9,0.0,5.2,25.4,11.7,69,24,4.35,16.84
SYDNEY AIRPORT AMO,28/08/2024,10.2,0.0,8.0,29.6,16.6,48,15,11.69,16.80
SYDNEY AIRPORT AMO,29/08/2024,6.4,0.0,12.0,25.2,14.5,48,19,6.13,17.06
SYDNEY AIRPORT AMO,30/08/2024,8.1,0.0,9.2,31.6,15.1,57,17,6.94,17.23
SYDNEY AIRPORT AMO,31/08/2024,6.9,0.0,10.0,25.9,16.2,54,17,6.91,17.39
Totals:,,106.4,24.4,116.4,,,,,, 
