'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/09/2024,6.0,0.0,6.8,28.1,11.1,72,12,4.60,17.58
SYDNEY AIRPORT AMO,02/09/2024,9.5,0.0,10.8,26.2,15.1,36,14,11.21,17.70
SYDNEY AIRPORT AMO,03/09/2024,4.7,0.0,11.0,18.0,10.5,62,30,6.69,17.90
SYDNEY AIRPORT AMO,04/09/2024,5.1,0.0,6.0,22.3,8.7,70,27,5.94,17.93
SYDNEY AIRPORT AMO,05/09/2024,5.3,0.0,6.2,28.8,11.3,68,21,3.99,13.76
SYDNEY AIRPORT AMO,06/09/2024,7.3,0.0,6.8,31.5,15.3,64,19,5.80,18.35
SYDNEY AIRPORT AMO,07/09/2024,3.9,0.0,11.0,23.1,17.9,91,41,5.02,13.87
SYDNEY AIRPORT AMO,08/09/2024,2.6,0.0,4.2,21.5,15.8,93,33,2.79,6.49
SYDNEY AIRPORT AMO,09/09/2024,5.9,0.0,2.8,25.8,11.6,58,25,5.59,18.71
SYDNEY AIRPORT AMO,10/09/2024,3.6,0.0,5.8,21.3,12.5,81,45,3.82,16.52
SYDNEY AIRPORT AMO,11/09/2024,3.9,0.0,2.2,25.1,12.2,89,45,3.64,17.47
SYDNEY AIRPORT AMO,12/09/2024,3.4,0.0,4.6,18.5,15.9,95,56,10.83,15.46
SYDNEY AIRPORT AMO,13/09/2024,3.7,7.4,7.7,17.9,10.9,72,54,6.40,18.99
SYDNEY AIRPORT AMO,14/09/2024,5.3,0.0,4.0,23.2,9.8,83,34,7.25,19.52
SYDNEY AIRPORT AMO,15/09/2024,3.8,0.0,7.2,15.3,7.8,71,53,11.58,17.90
SYDNEY AIRPORT AMO,16/09/2024,4.4,0.0,6.2,18.3,7.1,68,34,5.87,20.19
SYDNEY AIRPORT AMO,17/09/2024,4.6,0.0,5.2,21.8,9.4,75,29,4.28,20.33
SYDNEY AIRPORT AMO,18/09/2024,6.5,0.0,4.6,27.7,9.0,81,7,4.77,20.51
SYDNEY AIRPORT AMO,19/09/2024,8.7,0.0,9.4,28.1,14.3,34,9,7.05,20.65
SYDNEY AIRPORT AMO,20/09/2024,7.1,0.0,8.6,26.4,12.5,54,13,5.83,20.87
SYDNEY AIRPORT AMO,21/09/2024,6.5,0.0,8.0,25.9,13.5,46,17,4.94,21.06
SYDNEY AIRPORT AMO,22/09/2024,6.0,0.0,8.2,27.0,12.4,55,18,4.34,18.61
SYDNEY AIRPORT AMO,23/09/2024,6.2,0.0,6.4,29.8,12.1,62,19,3.74,21.50
SYDNEY AIRPORT AMO,24/09/2024,5.1,0.0,6.6,25.7,15.5,84,37,5.46,17.90
SYDNEY AIRPORT AMO,25/09/2024,4.7,0.0,6.6,27.4,16.4,86,26,3.92,13.00
SYDNEY AIRPORT AMO,26/09/2024,1.7,6.6,4.0,16.2,11.5,96,76,10.73,5.38
SYDNEY AIRPORT AMO,27/09/2024,4.0,19.8,4.4,18.4,11.3,84,48,8.88,15.45
SYDNEY AIRPORT AMO,28/09/2024,3.4,1.2,4.0,19.6,12.5,90,53,4.77,16.50
SYDNEY AIRPORT AMO,29/09/2024,2.9,1.6,3.4,22.1,12.7,92,66,3.88,14.36
SYDNEY AIRPORT AMO,30/09/2024,3.1,8.2,3.0,19.1,15.2,95,64,6.49,16.68
Totals:,,148.9,44.8,185.7,,,,,, 
