'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/04/2025,3.8,1.0,4.6,21.7,17.2,85,66,9.74,17.18
SYDNEY AIRPORT AMO,02/04/2025,3.3,0.0,5.4,23.1,14.4,100,54,4.08,17.25
SYDNEY AIRPORT AMO,03/04/2025,5.0,0.0,4.0,26.9,14.8,88,26,4.20,18.65
SYDNEY AIRPORT AMO,04/04/2025,3.3,0.0,4.0,24.9,16.4,86,63,3.77,16.17
SYDNEY AIRPORT AMO,05/04/2025,5.2,0.0,4.0,25.4,16.8,88,25,5.37,18.22
SYDNEY AIRPORT AMO,06/04/2025,4.8,0.0,8.4,27.5,14.1,85,21,3.69,15.90
SYDNEY AIRPORT AMO,07/04/2025,5.6,0.0,6.4,26.7,16.0,67,30,5.42,17.90
SYDNEY AIRPORT AMO,08/04/2025,2.4,3.2,6.8,21.3,15.8,92,66,3.59,11.31
SYDNEY AIRPORT AMO,09/04/2025,3.0,5.0,0.8,24.0,16.6,96,56,3.86,12.98
SYDNEY AIRPORT AMO,10/04/2025,2.8,0.2,3.8,24.6,16.3,91,56,3.06,11.45
SYDNEY AIRPORT AMO,11/04/2025,4.4,0.0,3.2,29.1,16.7,90,37,3.67,17.20
SYDNEY AIRPORT AMO,12/04/2025,3.5,0.0,4.6,24.8,18.8,88,64,5.41,16.51
SYDNEY AIRPORT AMO,13/04/2025,3.7,0.0,3.6,26.4,17.8,90,45,3.53,15.90
SYDNEY AIRPORT AMO,14/04/2025,5.2,0.0,4.8,28.6,17.0,91,37,6.15,16.03
SYDNEY AIRPORT AMO,15/04/2025,3.4,10.2,6.2,22.2,17.6,94,55,7.78,11.22
SYDNEY AIRPORT AMO,16/04/2025,3.8,0.4,6.6,21.3,17.4,81,54,7.45,13.36
SYDNEY AIRPORT AMO,17/04/2025,2.8,4.6,1.8,22.3,15.8,95,68,6.66,13.73
SYDNEY AIRPORT AMO,18/04/2025,3.4,0.2,3.6,23.4,15.8,80,53,3.92,16.02
SYDNEY AIRPORT AMO,19/04/2025,4.9,0.0,4.0,29.9,15.2,88,29,4.20,15.89
SYDNEY AIRPORT AMO,20/04/2025,5.7,0.0,6.0,30.2,16.0,72,24,4.89,15.75
SYDNEY AIRPORT AMO,21/04/2025,3.3,0.0,7.2,25.7,19.9,79,48,3.53,10.97
SYDNEY AIRPORT AMO,22/04/2025,2.8,0.8,4.0,23.0,15.8,92,65,7.43,9.22
SYDNEY AIRPORT AMO,23/04/2025,3.5,19.6,5.4,25.2,17.6,91,61,7.84,11.85
SYDNEY AIRPORT AMO,24/04/2025,3.1,0.2,3.6,24.8,18.4,87,55,4.03,12.36
SYDNEY AIRPORT AMO,25/04/2025,2.6,13.2,5.8,24.6,17.5,95,56,3.11,11.69
SYDNEY AIRPORT AMO,26/04/2025,2.6,0.0,3.0,24.5,16.5,94,63,4.04,10.82
SYDNEY AIRPORT AMO,27/04/2025,2.4,36.0,4.6,21.9,17.5,96,63,7.39,5.57
SYDNEY AIRPORT AMO,28/04/2025,1.9,12.6,3.2,20.7,18.0,95,81,8.01,10.10
SYDNEY AIRPORT AMO,29/04/2025,2.2,4.4,1.8,22.7,15.2,93,68,4.26,9.89
SYDNEY AIRPORT AMO,30/04/2025,2.0,16.0,2.6,18.7,15.6,95,72,8.95,7.25
Totals:,,106.4,127.6,133.8,,,,,, 
