'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/09/2025,3.5,0.0,4.6,18.1,9.0,72,46,4.87,17.58
SYDNEY AIRPORT AMO,02/09/2025,3.3,0.8,4.0,20.5,12.1,91,45,4.47,15.26
SYDNEY AIRPORT AMO,03/09/2025,4.2,0.0,4.0,23.1,10.1,89,27,4.22,17.88
SYDNEY AIRPORT AMO,04/09/2025,5.5,0.0,5.0,24.9,14.2,69,17,5.37,13.41
SYDNEY AIRPORT AMO,05/09/2025,3.6,0.0,7.6,17.7,13.0,76,50,6.18,16.96
SYDNEY AIRPORT AMO,06/09/2025,4.1,0.0,4.0,21.1,11.1,75,42,5.46,17.31
SYDNEY AIRPORT AMO,07/09/2025,4.1,0.0,5.6,23.9,11.7,88,47,5.21,18.53
SYDNEY AIRPORT AMO,08/09/2025,7.2,0.0,7.4,30.1,17.1,56,26,6.56,17.57
SYDNEY AIRPORT AMO,09/09/2025,4.6,0.2,8.0,27.1,17.1,83,33,4.38,13.95
SYDNEY AIRPORT AMO,10/09/2025,1.6,4.0,3.8,17.8,16.4,97,77,6.56,5.75
SYDNEY AIRPORT AMO,11/09/2025,2.5,97.2, ,15.9,9.7,96,62,9.73,11.61
SYDNEY AIRPORT AMO,12/09/2025,3.4,5.0,2.4,19.1,10.2,84,43,3.59,19.28
SYDNEY AIRPORT AMO,13/09/2025,3.3,0.0,4.8,21.4,10.5,86,47,3.09,17.94
SYDNEY AIRPORT AMO,14/09/2025,4.6,0.0,5.6,24.7,10.8,92,28,3.92,19.75
SYDNEY AIRPORT AMO,15/09/2025,5.9,0.0,6.0,28.7,11.4,73,16,4.07,19.96
SYDNEY AIRPORT AMO,16/09/2025,6.8,0.0,7.6,28.4,18.7,67,29,7.30,15.37
SYDNEY AIRPORT AMO,17/09/2025,6.0,0.4,8.6,26.4,18.4,76,22,5.36,20.15
SYDNEY AIRPORT AMO,18/09/2025,4.1,0.0,7.4,20.8,11.1,79,44,4.84,20.39
SYDNEY AIRPORT AMO,19/09/2025,5.4,0.0,5.2,26.1,11.5,88,22,4.74,19.73
SYDNEY AIRPORT AMO,20/09/2025,5.7,4.6,6.0,22.7,16.0,88,24,7.48,20.73
SYDNEY AIRPORT AMO,21/09/2025,5.4,0.0,7.2,23.1,11.1,58,28,5.02,21.04
SYDNEY AIRPORT AMO,22/09/2025,4.7,0.0,6.0,21.7,12.0,86,36,6.92,17.51
SYDNEY AIRPORT AMO,23/09/2025,3.9,0.0,4.8,17.4,7.8,77,45,5.59,21.32
SYDNEY AIRPORT AMO,24/09/2025,6.1,0.2,5.0,25.4,9.8,77,19,5.36,21.45
SYDNEY AIRPORT AMO,25/09/2025,6.8,0.0,7.0,26.5,11.4,65,15,5.76,21.58
SYDNEY AIRPORT AMO,26/09/2025,8.6,0.0, ,29.9,18.2,42,14,6.68,18.86
SYDNEY AIRPORT AMO,27/09/2025,7.9,0.0, ,29.7,19.6,41,16,5.85,16.55
SYDNEY AIRPORT AMO,28/09/2025,5.4,0.0, ,23.8,18.0,88,32,6.16,20.52
SYDNEY AIRPORT AMO,29/09/2025,3.5,1.2, ,22.5,16.2,91,72,5.86,19.88
SYDNEY AIRPORT AMO,30/09/2025,5.7,0.0, ,25.4,15.7,89,37,6.85,21.90
Totals:,,147.4,113.6,137.6,,,,,, 
