'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for November 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 December 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/11/2025,3.2,15.2,2.4,22.8,16.7,94,66,5.29,13.35
SYDNEY AIRPORT AMO,02/11/2025,3.5,0.8,10.8,24.1,18.0,95,67,4.05,16.41
SYDNEY AIRPORT AMO,03/11/2025,5.3,0.0,4.0,28.0,18.6,93,55,5.53,22.81
SYDNEY AIRPORT AMO,04/11/2025,7.4,19.8,11.6,24.4,17.6,69,23,8.04,23.05
SYDNEY AIRPORT AMO,05/11/2025,6.9,0.2,10.6,26.8,14.4,70,20,4.27,28.62
SYDNEY AIRPORT AMO,06/11/2025,7.0,0.0,7.0,25.8,14.4,79,25,5.82,28.74
SYDNEY AIRPORT AMO,07/11/2025,5.3,0.0, ,26.4,19.6,78,53,6.21,18.85
SYDNEY AIRPORT AMO,08/11/2025,6.9,0.0,15.6,32.4,20.5,88,36,6.28,19.52
SYDNEY AIRPORT AMO,09/11/2025,5.7,0.4,9.4,20.7,16.4,85,42,8.41,27.35
SYDNEY AIRPORT AMO,10/11/2025,6.1,0.0,8.8,23.8,15.4,72,42,5.46,28.39
SYDNEY AIRPORT AMO,11/11/2025,9.0,0.0,8.0,29.2,15.2,79,12,7.92,25.38
SYDNEY AIRPORT AMO,12/11/2025,6.4,0.0,11.8,21.0,11.0,55,27,5.38,29.51
SYDNEY AIRPORT AMO,13/11/2025,7.5,0.0,8.0,27.7,12.9,68,14,4.78,27.30
SYDNEY AIRPORT AMO,14/11/2025,5.6,0.0,9.6,23.3,18.1,83,48,6.02,25.93
SYDNEY AIRPORT AMO,15/11/2025,4.5,0.0,7.0,26.5,18.7,91,57,7.02,15.55
SYDNEY AIRPORT AMO,16/11/2025,7.9,3.4,6.0,32.6,19.9,89,14,3.93,28.49
SYDNEY AIRPORT AMO,17/11/2025,7.6,0.0,9.4,23.1,18.4,49,23,7.42,21.66
SYDNEY AIRPORT AMO,18/11/2025,7.3,0.0,8.0,26.6,15.6,76,28,5.60,30.20
SYDNEY AIRPORT AMO,19/11/2025,7.7,0.0,9.8,29.7,16.7,84,28,5.21,30.29
SYDNEY AIRPORT AMO,20/11/2025,3.8,0.0,10.2,21.9,18.6,92,71,7.63,20.31
SYDNEY AIRPORT AMO,21/11/2025,2.5,0.0,5.6,21.8,16.0,96,71,8.80,6.82
SYDNEY AIRPORT AMO,22/11/2025,2.5,1.0,5.0,22.6,16.1,96,67,4.47,8.69
SYDNEY AIRPORT AMO,23/11/2025,4.9,10.4,2.2,25.0,18.4,97,68,3.93,27.63
SYDNEY AIRPORT AMO,24/11/2025,4.8,0.0,6.4,23.7,18.1,89,70,6.79,27.30
SYDNEY AIRPORT AMO,25/11/2025,6.0,0.0,7.2,30.0,18.0,85,46,4.75,23.05
SYDNEY AIRPORT AMO,26/11/2025,9.8,0.0,8.8,35.6,18.6,90,16,7.06,23.50
SYDNEY AIRPORT AMO,27/11/2025,9.3,0.4, ,32.9,19.9,94,13,5.93,30.81
SYDNEY AIRPORT AMO,28/11/2025,8.5,0.0,19.6,30.4,17.7,82,22,6.29,29.75
SYDNEY AIRPORT AMO,29/11/2025,9.6,0.0,11.8,33.2,21.5,78,19,8.76,19.19
SYDNEY AIRPORT AMO,30/11/2025,9.1,0.0,8.6,29.2,18.0,72,15,7.55,26.66
Totals:,,191.6,51.6,243.2,,,,,, 
